year,disco,saidi_hours_per_year,saifi_interruptions_per_year,caidi_hours,provenance,sources
2024,AEDC,2093.9,159.7,13.11,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,BEDC,2203.3,285.9,7.71,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,EEDC,2522.7,263.5,9.57,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,EKEDC,2866.0,331.3,8.65,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,IBEDC,2272.2,562.1,4.04,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,IKEDC,1428.1,272.7,5.24,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,JED,2155.8,375.8,5.74,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,KAEDCO,2318.3,184.7,12.55,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,KEDCO,2105.7,218.0,9.66,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,PHED,2405.0,393.4,6.11,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
2024,YEDC,1474.1,267.3,5.52,synthetic_estimate_from_surveys,World Bank; NERC; TCN; academic surveys
