date,avg_generation_mw,energy_mwh,provenance
2024-01-01,4075.9,97822.0,synthetic_fabricated
2024-01-02,3971.3,95312.0,synthetic_fabricated
2024-01-03,4197.1,100730.1,synthetic_fabricated
2024-01-04,3961.1,95066.0,synthetic_fabricated
2024-01-05,4069.3,97663.9,synthetic_fabricated
2024-01-06,3483.1,83594.1,synthetic_fabricated
2024-01-07,3768.5,90443.9,synthetic_fabricated
2024-01-08,4028.0,96672.1,synthetic_fabricated
2024-01-09,4039.8,96955.6,synthetic_fabricated
2024-01-10,3962.1,95090.2,synthetic_fabricated
2024-01-11,4322.9,103749.7,synthetic_fabricated
2024-01-12,3953.3,94878.2,synthetic_fabricated
2024-01-13,3474.7,83392.4,synthetic_fabricated
2024-01-14,3731.8,89563.0,synthetic_fabricated
2024-01-15,3883.5,93205.2,synthetic_fabricated
2024-01-16,4202.2,100851.9,synthetic_fabricated
2024-01-17,4091.4,98194.7,synthetic_fabricated
2024-01-18,4326.0,103824.3,synthetic_fabricated
2024-01-19,4189.4,100545.0,synthetic_fabricated
2024-01-20,3737.2,89693.2,synthetic_fabricated
2024-01-21,3561.2,85468.9,synthetic_fabricated
2024-01-22,3936.3,94471.6,synthetic_fabricated
2024-01-23,4202.2,100853.9,synthetic_fabricated
2024-01-24,4082.1,97969.9,synthetic_fabricated
2024-01-25,4120.4,98888.5,synthetic_fabricated
2024-01-26,4023.9,96574.6,synthetic_fabricated
2024-01-27,3800.1,91202.4,synthetic_fabricated
2024-01-28,3867.8,92828.2,synthetic_fabricated
2024-01-29,4259.7,102232.0,synthetic_fabricated
2024-01-30,4184.9,100437.8,synthetic_fabricated
2024-01-31,4291.5,102996.8,synthetic_fabricated
2024-02-01,4108.5,98604.5,synthetic_fabricated
2024-02-02,4227.8,101467.9,synthetic_fabricated
2024-02-03,3792.6,91021.9,synthetic_fabricated
2024-02-04,3952.8,94867.1,synthetic_fabricated
2024-02-05,4005.3,96127.4,synthetic_fabricated
2024-02-06,4271.2,102508.0,synthetic_fabricated
2024-02-07,4194.1,100659.2,synthetic_fabricated
2024-02-08,4267.5,102419.5,synthetic_fabricated
2024-02-09,4221.8,101324.0,synthetic_fabricated
2024-02-10,3703.9,88892.8,synthetic_fabricated
2024-02-11,3906.5,93756.3,synthetic_fabricated
2024-02-12,4084.2,98020.5,synthetic_fabricated
2024-02-13,4118.1,98834.2,synthetic_fabricated
2024-02-14,4190.1,100561.2,synthetic_fabricated
2024-02-15,4317.4,103616.8,synthetic_fabricated
2024-02-16,4143.1,99433.9,synthetic_fabricated
2024-02-17,3872.8,92947.4,synthetic_fabricated
2024-02-18,4025.1,96603.0,synthetic_fabricated
2024-02-19,4356.7,104561.2,synthetic_fabricated
2024-02-20,4234.0,101616.4,synthetic_fabricated
2024-02-21,4203.6,100886.7,synthetic_fabricated
2024-02-22,4465.1,107162.6,synthetic_fabricated
2024-02-23,4293.0,103032.3,synthetic_fabricated
2024-02-24,4003.7,96088.5,synthetic_fabricated
2024-02-25,3889.1,93338.4,synthetic_fabricated
2024-02-26,4483.2,107597.7,synthetic_fabricated
2024-02-27,4458.0,106992.0,synthetic_fabricated
2024-02-28,4401.7,105640.2,synthetic_fabricated
2024-02-29,4308.2,103395.7,synthetic_fabricated
2024-03-01,4176.7,100241.7,synthetic_fabricated
2024-03-02,3817.6,91621.6,synthetic_fabricated
2024-03-03,3840.9,92182.3,synthetic_fabricated
2024-03-04,4368.4,104841.8,synthetic_fabricated
2024-03-05,4140.0,99360.7,synthetic_fabricated
2024-03-06,4338.9,104134.8,synthetic_fabricated
2024-03-07,4070.8,97699.4,synthetic_fabricated
