# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,Cycle_Number,Leakage_Rate_sccm,Seal_Condition
0.0,0,0.589,Good
10.0,1,0.397,Good
20.0,2,0.723,Good
30.0,3,0.523,Good
40.0,4,0.716,Good
50.0,5,0.664,Good
60.0,6,0.887,Good
70.0,7,0.847,Good
80.0,8,1.108,Good
90.0,9,0.853,Good
100.0,10,0.958,Good
110.0,11,1.007,Good
120.0,12,1.209,Good
130.0,13,1.188,Good
140.0,14,1.216,Good
150.0,15,1.124,Good
160.0,16,1.296,Good
170.0,17,1.181,Good
180.0,18,1.404,Good
190.0,19,1.286,Good
200.0,20,1.482,Good
210.0,21,1.534,Good
220.0,22,1.699,Good
230.0,23,1.610,Good
240.0,24,1.778,Good
250.0,25,1.678,Good
260.0,26,1.752,Good
270.0,27,1.679,Good
280.0,28,1.785,Good
290.0,29,2.033,Moderate
300.0,30,2.112,Moderate
310.0,31,2.089,Moderate
320.0,32,2.058,Moderate
330.0,33,2.095,Moderate
340.0,34,2.225,Moderate
350.0,35,2.286,Moderate
360.0,36,2.175,Moderate
370.0,37,2.533,Moderate
380.0,38,2.497,Moderate
390.0,39,2.312,Moderate
400.0,40,2.400,Moderate
410.0,41,2.513,Moderate
420.0,42,2.629,Moderate
430.0,43,2.636,Moderate
440.0,44,2.618,Moderate
450.0,45,2.710,Moderate
460.0,46,2.726,Moderate
470.0,47,2.807,Moderate
480.0,48,2.883,Moderate
490.0,49,2.962,Moderate
500.0,50,2.992,Moderate
510.0,51,3.203,Moderate
520.0,52,3.039,Moderate
530.0,53,3.127,Moderate
540.0,54,3.237,Moderate
550.0,55,3.147,Moderate
560.0,56,3.289,Moderate
570.0,57,3.384,Moderate
580.0,58,3.431,Moderate
590.0,59,3.440,Moderate
600.0,60,3.550,Moderate
610.0,61,3.583,Moderate
620.0,62,3.738,Moderate
630.0,63,3.623,Moderate
640.0,64,3.718,Moderate
650.0,65,3.665,Moderate
660.0,66,3.669,Moderate
670.0,67,3.894,Moderate
680.0,68,4.016,Moderate
690.0,69,3.725,Moderate
700.0,70,3.899,Moderate
710.0,71,4.086,Moderate
720.0,72,4.125,Moderate
730.0,73,4.234,Moderate
740.0,74,4.113,Moderate
750.0,75,4.359,Moderate
760.0,76,4.470,Moderate
770.0,77,4.386,Moderate
780.0,78,4.549,Moderate
790.0,79,4.565,Moderate
800.0,80,4.634,Moderate
810.0,81,4.466,Moderate
820.0,82,4.438,Moderate
830.0,83,4.638,Moderate
840.0,84,4.504,Moderate
850.0,85,4.731,Moderate
860.0,86,4.802,Moderate
870.0,87,4.715,Moderate
880.0,88,4.901,Moderate
890.0,89,5.012,Poor
900.0,90,5.147,Poor
910.0,91,5.036,Poor
920.0,92,4.940,Moderate
930.0,93,5.070,Poor
940.0,94,5.155,Poor
950.0,95,5.375,Poor
960.0,96,5.379,Poor
970.0,97,5.303,Poor
980.0,98,5.541,Poor
990.0,99,5.483,Poor
1000.0,100,5.182,Poor
