# SYNTHETIC/ILLUSTRATIVE DATA - Generated based on published literature ranges. NOT real experimental data. For educational/template purposes only.
Time_hours,Cycle_Number,Contact_Resistance_mOhm_cm2,Temperature_C
0.0,0,4.976,804.72
10.0,1,4.931,798.34
20.0,2,5.588,796.16
30.0,3,5.626,798.98
40.0,4,4.821,801.55
50.0,5,5.275,804.17
60.0,6,5.109,800.17
70.0,7,4.887,788.73
80.0,8,5.857,812.50
90.0,9,5.693,798.61
100.0,10,6.287,803.43
110.0,11,5.824,809.48
120.0,12,5.508,801.71
130.0,13,5.939,806.80
140.0,14,6.696,792.25
150.0,15,6.960,805.89
160.0,16,6.512,794.50
170.0,17,6.464,799.43
180.0,18,6.837,801.30
190.0,19,6.534,797.06
200.0,20,7.134,793.94
210.0,21,6.834,805.54
220.0,22,6.586,802.05
230.0,23,7.849,815.31
240.0,24,6.902,809.56
250.0,25,7.673,784.29
260.0,26,7.889,807.31
270.0,27,7.652,784.65
280.0,28,8.530,817.19
290.0,29,9.135,783.82
300.0,30,7.817,788.06
310.0,31,6.758,807.11
320.0,32,8.979,799.50
330.0,33,8.392,799.96
340.0,34,9.238,800.60
350.0,35,7.829,798.04
360.0,36,7.772,795.39
370.0,37,9.163,791.51
380.0,38,9.538,814.17
390.0,39,8.471,800.57
400.0,40,8.973,805.43
410.0,41,8.567,791.39
420.0,42,9.346,787.44
430.0,43,9.160,791.70
440.0,44,9.496,800.19
450.0,45,9.868,819.66
460.0,46,10.014,817.10
470.0,47,9.007,803.00
480.0,48,9.691,793.63
490.0,49,9.516,804.11
500.0,50,10.269,802.73
510.0,51,8.846,794.07
520.0,52,9.451,801.85
530.0,53,10.497,776.74
540.0,54,10.980,804.45
550.0,55,10.050,801.38
560.0,56,11.043,803.48
570.0,57,10.551,808.71
580.0,58,11.237,816.52
590.0,59,10.763,794.98
600.0,60,10.257,785.72
610.0,61,11.220,800.72
620.0,62,10.734,773.81
630.0,63,10.181,812.05
640.0,64,11.105,795.51
650.0,65,11.902,789.96
660.0,66,12.016,800.27
670.0,67,12.149,813.54
680.0,68,11.424,807.02
690.0,69,12.083,793.31
700.0,70,11.934,792.65
710.0,71,11.462,786.91
720.0,72,12.347,800.25
730.0,73,11.618,797.16
740.0,74,13.507,790.54
750.0,75,13.525,805.76
760.0,76,12.248,802.80
770.0,77,12.650,801.24
780.0,78,13.613,806.85
790.0,79,12.422,811.74
800.0,80,13.938,807.36
810.0,81,12.647,809.60
820.0,82,13.571,825.44
830.0,83,12.949,792.79
840.0,84,13.665,807.16
850.0,85,13.449,788.95
860.0,86,14.308,802.79
870.0,87,13.891,786.13
880.0,88,14.261,800.53
890.0,89,13.613,815.12
900.0,90,14.630,803.12
910.0,91,13.905,802.57
920.0,92,13.929,805.57
930.0,93,13.524,786.75
940.0,94,14.661,790.14
950.0,95,13.180,807.48
960.0,96,15.168,788.83
970.0,97,14.752,788.77
980.0,98,15.352,794.34
990.0,99,15.151,793.03
1000.0,100,14.993,797.22
