size_mw,fuel,gas_price_usd_per_mmbtu,capacity_factor,net_elec_efficiency,capex_usd_per_kw,lcoe_usd_per_kwh,fuel_cost_usd_per_mwh,emissions_gco2_per_kwh,competitive_vs_premium,provenance
1,pipeline_natural_gas,2.0,0.6,0.55,3825.0,136.6571,12.4,329.1,False,synthetic_model
1,pipeline_natural_gas,2.0,0.75,0.55,3825.0,112.8049,12.4,329.1,False,synthetic_model
1,pipeline_natural_gas,2.0,0.9,0.55,3825.0,96.9034,12.4,329.1,False,synthetic_model
1,pipeline_natural_gas,3.0,0.6,0.55,3825.0,142.8551,18.59,329.1,False,synthetic_model
1,pipeline_natural_gas,3.0,0.75,0.55,3825.0,119.0029,18.59,329.1,False,synthetic_model
1,pipeline_natural_gas,3.0,0.9,0.55,3825.0,103.1014,18.59,329.1,False,synthetic_model
1,pipeline_natural_gas,5.0,0.6,0.55,3825.0,155.2511,30.99,329.1,False,synthetic_model
1,pipeline_natural_gas,5.0,0.75,0.55,3825.0,131.3989,30.99,329.1,False,synthetic_model
1,pipeline_natural_gas,5.0,0.9,0.55,3825.0,115.4974,30.99,329.1,False,synthetic_model
1,pipeline_natural_gas,8.0,0.6,0.55,3825.0,173.8451,49.58,329.1,False,synthetic_model
1,pipeline_natural_gas,8.0,0.75,0.55,3825.0,149.9929,49.58,329.1,False,synthetic_model
1,pipeline_natural_gas,8.0,0.9,0.55,3825.0,134.0914,49.58,329.1,False,synthetic_model
1,captured_flare_gas,2.0,0.6,0.55,3825.0,136.6571,12.4,325.4,False,synthetic_model
1,captured_flare_gas,2.0,0.75,0.55,3825.0,112.8049,12.4,325.4,False,synthetic_model
1,captured_flare_gas,2.0,0.9,0.55,3825.0,96.9034,12.4,325.4,False,synthetic_model
1,captured_flare_gas,3.0,0.6,0.55,3825.0,142.8551,18.59,325.4,False,synthetic_model
1,captured_flare_gas,3.0,0.75,0.55,3825.0,119.0029,18.59,325.4,False,synthetic_model
1,captured_flare_gas,3.0,0.9,0.55,3825.0,103.1014,18.59,325.4,False,synthetic_model
1,captured_flare_gas,5.0,0.6,0.55,3825.0,155.2511,30.99,325.4,False,synthetic_model
