Sample_ID,Temperature_C,Time_min,Pore_Size_Bin_um,Volume_Fraction_percent,Number_Density_per_mm3,Shape_Factor,Aspect_Ratio
MS001,1200,0,0.5-1.0,8.2,485000,0.68,1.85
MS001,1200,0,1.0-2.0,15.8,245000,0.72,1.62
MS001,1200,0,2.0-3.0,12.5,82000,0.75,1.48
MS001,1200,0,3.0-5.0,6.8,28000,0.78,1.35
MS001,1200,0,>5.0,1.7,4200,0.82,1.22
MS008,1200,360,0.5-1.0,10.5,125000,0.75,1.45
MS008,1200,360,1.0-2.0,8.2,48000,0.78,1.35
MS008,1200,360,2.0-3.0,1.8,5800,0.82,1.25
MS008,1200,360,3.0-5.0,0.3,850,0.85,1.15
MS008,1200,360,>5.0,0.0,0,0.88,1.08
MS016,1250,360,0.5-1.0,8.5,98000,0.78,1.38
MS016,1250,360,1.0-2.0,5.5,32000,0.82,1.28
MS016,1250,360,2.0-3.0,1.0,3200,0.85,1.18
MS016,1250,360,3.0-5.0,0.2,520,0.88,1.12
MS016,1250,360,>5.0,0.0,0,0.90,1.05
MS024,1300,360,0.5-1.0,6.8,72000,0.82,1.32
MS024,1300,360,1.0-2.0,4.0,22000,0.85,1.22
MS024,1300,360,2.0-3.0,0.6,1800,0.88,1.15
MS024,1300,360,3.0-5.0,0.1,280,0.90,1.08
MS024,1300,360,>5.0,0.0,0,0.92,1.02
MS032,1350,360,0.5-1.0,5.2,48000,0.85,1.25
MS032,1350,360,1.0-2.0,3.2,14000,0.88,1.18
MS032,1350,360,2.0-3.0,0.7,1200,0.90,1.12
MS032,1350,360,3.0-5.0,0.1,150,0.92,1.05
MS032,1350,360,>5.0,0.0,0,0.94,1.00
MS040,1400,360,0.5-1.0,4.2,32000,0.88,1.18
MS040,1400,360,1.0-2.0,2.5,8500,0.90,1.12
MS040,1400,360,2.0-3.0,0.7,680,0.92,1.08
MS040,1400,360,3.0-5.0,0.1,85,0.94,1.02
MS040,1400,360,>5.0,0.0,0,0.95,1.00
MS048,1450,360,0.5-1.0,3.5,22000,0.90,1.12
MS048,1450,360,1.0-2.0,2.0,5200,0.92,1.08
MS048,1450,360,2.0-3.0,0.6,420,0.94,1.05
MS048,1450,360,3.0-5.0,0.1,48,0.95,1.00
MS048,1450,360,>5.0,0.0,0,0.96,1.00
MS056,1500,360,0.5-1.0,3.0,15000,0.92,1.08
MS056,1500,360,1.0-2.0,1.8,3200,0.94,1.05
MS056,1500,360,2.0-3.0,0.6,280,0.95,1.02
MS056,1500,360,3.0-5.0,0.1,28,0.96,1.00
MS056,1500,360,>5.0,0.0,0,0.97,1.00
YSZ008,1300,360,0.3-0.6,12.5,582000,0.70,1.72
YSZ008,1300,360,0.6-1.0,9.8,248000,0.74,1.58
YSZ008,1300,360,1.0-1.5,3.2,62000,0.78,1.42
YSZ008,1300,360,1.5-2.5,0.8,12000,0.82,1.28
YSZ008,1300,360,>2.5,0.2,1800,0.85,1.15
YSZ016,1350,360,0.3-0.6,9.5,385000,0.75,1.55
YSZ016,1350,360,0.6-1.0,7.2,158000,0.78,1.45
YSZ016,1350,360,1.0-1.5,2.2,38000,0.82,1.32
YSZ016,1350,360,1.5-2.5,0.5,6200,0.85,1.22
YSZ016,1350,360,>2.5,0.1,850,0.88,1.12
YSZ024,1400,360,0.3-0.6,7.8,248000,0.78,1.45
YSZ024,1400,360,0.6-1.0,5.2,98000,0.82,1.35
YSZ024,1400,360,1.0-1.5,1.8,22000,0.85,1.25
YSZ024,1400,360,1.5-2.5,0.3,3800,0.88,1.18
YSZ024,1400,360,>2.5,0.1,480,0.90,1.10
YSZ032,1450,360,0.3-0.6,6.2,162000,0.82,1.35
YSZ032,1450,360,0.6-1.0,4.2,62000,0.85,1.28
YSZ032,1450,360,1.0-1.5,1.5,14000,0.88,1.20
YSZ032,1450,360,1.5-2.5,0.5,2200,0.90,1.12
YSZ032,1450,360,>2.5,0.1,280,0.92,1.05
YSZ040,1500,360,0.3-0.6,5.2,108000,0.85,1.28
YSZ040,1500,360,0.6-1.0,3.5,42000,0.88,1.22
YSZ040,1500,360,1.0-1.5,1.2,8800,0.90,1.15
YSZ040,1500,360,1.5-2.5,0.3,1400,0.92,1.08
YSZ040,1500,360,>2.5,0.0,150,0.94,1.02
