# SYNTHETIC/ILLUSTRATIVE DATA - Based on published literature ranges
# Topic: Thermo-mechanical behavior of SOFC at high temperatures
# DO NOT use as ground truth without independent verification
Time_hours,Strain_pct_5MPa_750C,Strain_pct_10MPa_800C,Strain_pct_15MPa_800C,Strain_pct_20MPa_850C,Strain_pct_10MPa_900C
0,0.05,0.1,0.15,0.2,0.1
5,0.0711,0.1533,0.2581,0.396,0.2624
10,0.0769,0.1703,0.2947,0.4677,0.3265
15,0.081,0.1827,0.3215,0.5213,0.3752
20,0.0842,0.1928,0.3436,0.5658,0.4159
25,0.087,0.2015,0.3626,0.6044,0.4516
30,0.0895,0.2091,0.3795,0.639,0.4838
35,0.0916,0.2161,0.3948,0.6705,0.5133
40,0.0936,0.2225,0.409,0.6996,0.5406
45,0.0955,0.2284,0.4221,0.7268,0.5662
50,0.0972,0.2339,0.4344,0.7524,0.5904
55,0.0988,0.2391,0.446,0.7766,0.6134
60,0.1003,0.244,0.457,0.7996,0.6353
65,0.1017,0.2487,0.4675,0.8216,0.6562
70,0.1031,0.2532,0.4776,0.8427,0.6764
75,0.1044,0.2575,0.4872,0.863,0.6958
80,0.1056,0.2616,0.4965,0.8825,0.7145
85,0.1068,0.2655,0.5054,0.9014,0.7327
90,0.108,0.2694,0.514,0.9197,0.7503
95,0.1091,0.2731,0.5224,0.9374,0.7674
100,0.1101,0.2767,0.5305,0.9546,0.784
105,0.1112,0.2801,0.5384,0.9714,0.8002
110,0.1122,0.2835,0.546,0.9877,0.816
115,0.1132,0.2868,0.5535,1.0036,0.8315
120,0.1141,0.29,0.5608,1.0191,0.8466
125,0.115,0.2932,0.5679,1.0343,0.8613
130,0.1159,0.2962,0.5748,1.0492,0.8758
135,0.1168,0.2992,0.5816,1.0637,0.89
140,0.1177,0.3021,0.5883,1.078,0.9039
145,0.1185,0.305,0.5948,1.0919,0.9176
150,0.1193,0.3078,0.6012,1.1057,0.931
155,0.1201,0.3105,0.6074,1.1191,0.9442
160,0.1209,0.3132,0.6135,1.1323,0.9571
165,0.1217,0.3158,0.6196,1.1453,0.9699
170,0.1224,0.3184,0.6255,1.1581,0.9824
175,0.1232,0.321,0.6313,1.1707,0.9948
180,0.1239,0.3235,0.6371,1.1831,1.007
185,0.1246,0.326,0.6427,1.1953,1.019
190,0.1253,0.3284,0.6482,1.2073,1.0308
195,0.126,0.3308,0.6537,1.2192,1.0425
200,0.1267,0.3331,0.6591,1.2308,1.054
205,0.1273,0.3354,0.6644,1.2423,1.0654
210,0.128,0.3377,0.6696,1.2537,1.0766
215,0.1286,0.34,0.6748,1.2649,1.0877
220,0.1293,0.3422,0.6799,1.276,1.0987
225,0.1299,0.3444,0.6849,1.2869,1.1095
230,0.1305,0.3465,0.6899,1.2977,1.1202
235,0.1311,0.3486,0.6948,1.3084,1.1308
240,0.1317,0.3508,0.6996,1.319,1.1413
245,0.1323,0.3528,0.7044,1.3294,1.1516
250,0.1329,0.3549,0.7091,1.3397,1.1619
255,0.1335,0.3569,0.7138,1.3499,1.172
260,0.134,0.3589,0.7184,1.36,1.1821
265,0.1346,0.3609,0.723,1.37,1.192
270,0.1351,0.3628,0.7275,1.3799,1.2018
275,0.1357,0.3648,0.7319,1.3897,1.2116
280,0.1362,0.3667,0.7364,1.3993,1.2212
285,0.1368,0.3686,0.7407,1.4089,1.2308
290,0.1373,0.3705,0.7451,1.4184,1.2403
295,0.1378,0.3723,0.7494,1.4278,1.2497
300,0.1383,0.3742,0.7536,1.4372,1.259
305,0.1389,0.376,0.7578,1.4464,1.2682
310,0.1394,0.3778,0.762,1.4556,1.2774
315,0.1399,0.3796,0.7661,1.4646,1.2865
320,0.1404,0.3813,0.7702,1.4736,1.2955
325,0.1409,0.3831,0.7742,1.4825,1.3044
