current_density_A_per_cm2,voltage_V
0.010000,1.044383
0.032178,0.970912
0.054357,0.914424
0.076535,0.863708
0.098713,0.813172
0.120891,0.756929
0.143070,0.681235
0.165248,0.450289
0.187426,0.431505
0.209604,0.413830
0.231783,0.397058
0.253961,0.381036
0.276139,0.365648
0.298317,0.350803
0.320496,0.336426
0.342674,0.322459
0.364852,0.308853
0.387030,0.295567
0.409209,0.282568
0.431387,0.269827
0.453565,0.257318
0.475743,0.245022
0.497922,0.232918
0.520100,0.220991
0.542278,0.209227
0.564456,0.197613
0.586635,0.186138
0.608813,0.174791
0.630991,0.163565
0.653169,0.152450
0.675348,0.141441
0.697526,0.130529
0.719704,0.119709
0.741882,0.108976
0.764061,0.098325
0.786239,0.087751
0.808417,0.077250
0.830595,0.066818
0.852774,0.056451
0.874952,0.050000
0.897130,0.050000
0.919308,0.050000
0.941487,0.050000
0.963665,0.050000
0.985843,0.050000
1.008021,0.050000
1.030200,0.050000
1.052378,0.050000
1.074556,0.050000
1.096734,0.050000
