current_density_A_per_cm2,voltage_V
0.010000,1.048133
0.033266,0.972086
0.056531,0.914217
0.079797,0.862533
0.103063,0.811312
0.126329,0.754783
0.149594,0.680082
0.172860,0.465146
0.196126,0.425042
0.219392,0.406525
0.242657,0.388922
0.265923,0.372076
0.289189,0.355869
0.312454,0.340208
0.335720,0.325019
0.358986,0.310242
0.382252,0.295829
0.405517,0.281738
0.428783,0.267935
0.452049,0.254390
0.475314,0.241080
0.498580,0.227982
0.521846,0.215078
0.545112,0.202351
0.568377,0.189788
0.591643,0.177375
0.614909,0.165101
0.638175,0.152956
0.661440,0.140932
0.684706,0.129020
0.707972,0.117213
0.731237,0.105504
0.754503,0.093887
0.777769,0.082357
0.801035,0.070909
0.824300,0.059538
0.847566,0.050000
0.870832,0.050000
0.894097,0.050000
0.917363,0.050000
0.940629,0.050000
0.963895,0.050000
0.987160,0.050000
1.010426,0.050000
1.033692,0.050000
1.056958,0.050000
1.080223,0.050000
1.103489,0.050000
1.126755,0.050000
1.150020,0.050000
