current_density_A_per_cm2,voltage_V
0.010000,1.043934
0.038216,0.958302
0.066433,0.894745
0.094649,0.837246
0.122866,0.777858
0.151082,0.705381
0.179298,0.563394
0.207515,0.421208
0.235731,0.400344
0.263948,0.380622
0.292164,0.361826
0.320380,0.343796
0.348597,0.326408
0.376813,0.309569
0.405030,0.293202
0.433246,0.277248
0.461462,0.261656
0.489679,0.246384
0.517895,0.231399
0.546112,0.216671
0.574328,0.202175
0.602544,0.187890
0.630761,0.173796
0.658977,0.159878
0.687194,0.146121
0.715410,0.132512
0.743626,0.119042
0.771843,0.105698
0.800059,0.092473
0.828276,0.079359
0.856492,0.066347
0.884708,0.053433
0.912925,0.050000
0.941141,0.050000
0.969358,0.050000
0.997574,0.050000
1.025791,0.050000
1.054007,0.050000
1.082223,0.050000
1.110440,0.050000
1.138656,0.050000
1.166873,0.050000
1.195089,0.050000
1.223305,0.050000
1.251522,0.050000
1.279738,0.050000
1.307955,0.050000
1.336171,0.050000
1.364387,0.050000
1.392604,0.050000
