current_density_A_per_cm2,voltage_V
0.010000,1.038395
0.017993,1.007930
0.025987,0.981249
0.033980,0.956928
0.041973,0.934090
0.049967,0.912122
0.057960,0.890538
0.065954,0.868898
0.073947,0.846742
0.081940,0.823516
0.089934,0.798456
0.097927,0.770351
0.105920,0.736959
0.113914,0.693098
0.121907,0.620377
0.129900,0.483042
0.137894,0.475283
0.145887,0.467762
0.153881,0.460456
0.161874,0.453347
0.169867,0.446418
0.177861,0.439653
0.185854,0.433040
0.193847,0.426568
0.201841,0.420225
0.209834,0.414002
0.217827,0.407892
0.225821,0.401888
0.233814,0.395981
0.241808,0.390166
0.249801,0.384438
0.257794,0.378792
0.265788,0.373223
0.273781,0.367726
0.281774,0.362298
0.289768,0.356935
0.297761,0.351634
0.305754,0.346392
0.313748,0.341206
0.321741,0.336073
0.329735,0.330990
0.337728,0.325957
0.345721,0.320970
0.353715,0.316027
0.361708,0.311126
0.369701,0.306267
0.377695,0.301446
0.385688,0.296663
0.393681,0.291916
0.401675,0.287204
