current_density_A_per_m2,voltage_V
0.000000,1.209015
251.439786,0.000000
502.879571,0.000000
754.319357,0.000000
1005.759143,0.000000
1257.198929,0.000000
1508.638714,0.000000
1760.078500,0.000000
2011.518286,0.000000
2262.958071,0.000000
2514.397857,0.000000
2765.837643,0.000000
3017.277429,0.000000
3268.717214,0.000000
3520.157000,0.000000
3771.596786,0.000000
4023.036571,0.000000
4274.476357,0.000000
4525.916143,0.000000
4777.355929,0.000000
5028.795714,0.000000
5280.235500,0.000000
5531.675286,0.000000
5783.115071,0.000000
6034.554857,0.000000
6285.994643,0.000000
6537.434429,0.000000
6788.874214,0.000000
7040.314000,0.000000
7291.753786,0.000000
7543.193571,0.000000
7794.633357,0.000000
8046.073143,0.000000
8297.512929,0.000000
8548.952714,0.000000
8800.392500,0.000000
9051.832286,0.000000
9303.272071,0.000000
9554.711857,0.000000
9806.151643,0.000000
10057.591429,0.000000
10309.031214,0.000000
10560.471000,0.000000
10811.910786,0.000000
11063.350571,0.000000
11314.790357,0.000000
11566.230143,0.000000
11817.669929,0.000000
12069.109714,0.000000
12320.549500,0.000000
12571.989286,0.000000
12823.429071,0.000000
13074.868857,0.000000
13326.308643,0.000000
13577.748429,0.000000
13829.188214,0.000000
14080.628000,0.000000
14332.067786,0.000000
14583.507571,0.000000
14834.947357,0.000000
