current_density_A_per_cm2,voltage_V
0.010000,1.056805
0.027297,0.994595
0.044594,0.944890
0.061891,0.900368
0.079188,0.857313
0.096485,0.812636
0.113782,0.761975
0.131079,0.694639
0.148376,0.536700
0.165674,0.450170
0.182971,0.434206
0.200268,0.418956
0.217565,0.404311
0.234862,0.390187
0.252159,0.376514
0.269456,0.363238
0.286753,0.350313
0.304050,0.337699
0.321347,0.325364
0.338644,0.313282
0.355941,0.301427
0.373238,0.289780
0.390535,0.278322
0.407832,0.267039
0.425129,0.255916
0.442427,0.244940
0.459724,0.234102
0.477021,0.223391
0.494318,0.212799
0.511615,0.202317
0.528912,0.191939
0.546209,0.181659
0.563506,0.171470
0.580803,0.161367
0.598100,0.151345
0.615397,0.141400
0.632694,0.131528
0.649991,0.121724
0.667288,0.111986
0.684585,0.102309
0.701882,0.092692
0.719179,0.083131
0.736477,0.073623
0.753774,0.064167
0.771071,0.054760
0.788368,0.050000
0.805665,0.050000
0.822962,0.050000
0.840259,0.050000
0.857556,0.050000
