current_density_A_per_cm2,voltage_V
0.010000,1.035479
0.028278,0.974275
0.046557,0.925830
0.064835,0.882412
0.083114,0.840101
0.101392,0.795483
0.119671,0.743274
0.137949,0.668411
0.156228,0.458611
0.174506,0.443328
0.192785,0.428873
0.211063,0.415108
0.229342,0.401929
0.247620,0.389252
0.265899,0.377012
0.284177,0.365153
0.302456,0.353632
0.320734,0.342411
0.339013,0.331459
0.357291,0.320749
0.375570,0.310259
0.393848,0.299967
0.412127,0.289858
0.430405,0.279916
0.448684,0.270127
0.466962,0.260481
0.485241,0.250966
0.503519,0.241573
0.521798,0.232294
0.540076,0.223121
0.558355,0.214048
0.576633,0.205068
0.594912,0.196175
0.613190,0.187365
0.631469,0.178633
0.649747,0.169974
0.668026,0.161384
0.686304,0.152861
0.704583,0.144400
0.722861,0.135998
0.741140,0.127653
0.759418,0.119361
0.777697,0.111121
0.795975,0.102930
0.814254,0.094786
0.832532,0.086686
0.850811,0.078629
0.869089,0.070614
0.887368,0.062638
0.905646,0.054700
