current_density_A_per_cm2,voltage_V
0.010000,1.057492
0.013878,1.043124
0.017755,1.030003
0.021633,1.017880
0.025510,1.006573
0.029388,0.995943
0.033265,0.985885
0.037143,0.976313
0.041020,0.967160
0.044898,0.958370
0.048776,0.949897
0.052653,0.941703
0.056531,0.933755
0.060408,0.926023
0.064286,0.918485
0.068163,0.911118
0.072041,0.903905
0.075918,0.896827
0.079796,0.889870
0.083673,0.883020
0.087551,0.876266
0.091429,0.869595
0.095306,0.862997
0.099184,0.856463
0.103061,0.849983
0.106939,0.843549
0.110816,0.837152
0.114694,0.830784
0.118571,0.824437
0.122449,0.818104
0.126327,0.811777
0.130204,0.805449
0.134082,0.799111
0.137959,0.792756
0.141837,0.786376
0.145714,0.779963
0.149592,0.773507
0.153469,0.767000
0.157347,0.760431
0.161224,0.753791
0.165102,0.747066
0.168980,0.740246
0.172857,0.733315
0.176735,0.726258
0.180612,0.719058
0.184490,0.711694
0.188367,0.704144
0.192245,0.696381
0.196122,0.688375
0.200000,0.680088
