current_density_A_per_cm2,voltage_V
0.010000,1.060850
0.024014,1.015340
0.038028,0.979712
0.052042,0.949516
0.066056,0.922684
0.080070,0.898075
0.094084,0.874974
0.108098,0.852891
0.122112,0.831459
0.136126,0.810378
0.150140,0.789378
0.164154,0.768188
0.178168,0.746516
0.192182,0.724002
0.206196,0.700168
0.220210,0.674310
0.234224,0.645270
0.248238,0.610871
0.262252,0.566066
0.276266,0.493143
0.290280,0.371889
0.304294,0.362589
0.318308,0.353466
0.332322,0.344506
0.346336,0.335695
0.360350,0.327023
0.374364,0.318479
0.388378,0.310055
0.402392,0.301742
0.416406,0.293534
0.430420,0.285423
0.444434,0.277403
0.458448,0.269470
0.472462,0.261618
0.486476,0.253842
0.500490,0.246139
0.514504,0.238504
0.528518,0.230935
0.542532,0.223427
0.556546,0.215978
0.570560,0.208585
0.584573,0.201245
0.598587,0.193956
0.612601,0.186715
0.626615,0.179521
0.640629,0.172372
0.654643,0.165265
0.668657,0.158198
0.682671,0.151171
0.696685,0.144182
