current_density_A_per_m2,voltage_V
0.000000,1.209408
260.374854,0.000000
520.749709,0.000000
781.124563,0.000000
1041.499417,0.000000
1301.874272,0.000000
1562.249126,0.000000
1822.623980,0.000000
2082.998834,0.000000
2343.373689,0.000000
2603.748543,0.000000
2864.123397,0.000000
3124.498252,0.000000
3384.873106,0.000000
3645.247960,0.000000
3905.622815,0.000000
4165.997669,0.000000
4426.372523,0.000000
4686.747378,0.000000
4947.122232,0.000000
5207.497086,0.000000
5467.871940,0.000000
5728.246795,0.000000
5988.621649,0.000000
6248.996503,0.000000
6509.371358,0.000000
6769.746212,0.000000
7030.121066,0.000000
7290.495921,0.000000
7550.870775,0.000000
7811.245629,0.000000
8071.620484,0.000000
8331.995338,0.000000
8592.370192,0.000000
8852.745046,0.000000
9113.119901,0.000000
9373.494755,0.000000
9633.869609,0.000000
9894.244464,0.000000
10154.619318,0.000000
10414.994172,0.000000
10675.369027,0.000000
10935.743881,0.000000
11196.118735,0.000000
11456.493590,0.000000
11716.868444,0.000000
11977.243298,0.000000
12237.618152,0.000000
12497.993007,0.000000
12758.367861,0.000000
13018.742715,0.000000
13279.117570,0.000000
13539.492424,0.000000
13799.867278,0.000000
14060.242133,0.000000
14320.616987,0.000000
14580.991841,0.000000
14841.366696,0.000000
15101.741550,0.000000
15362.116404,0.000000
