current_density_A_per_cm2,voltage_V
0.010000,1.057864
0.028638,0.999123
0.047275,0.955360
0.065913,0.918873
0.084550,0.886523
0.103188,0.856671
0.121826,0.828307
0.140463,0.800703
0.159101,0.773251
0.177739,0.745347
0.196376,0.716281
0.215014,0.685063
0.233651,0.650059
0.252289,0.607991
0.270927,0.550003
0.289564,0.424866
0.308202,0.355397
0.326840,0.343472
0.345477,0.331827
0.364115,0.320434
0.382752,0.309269
0.401390,0.298312
0.420028,0.287544
0.438665,0.276950
0.457303,0.266516
0.475941,0.256229
0.494578,0.246079
0.513216,0.236056
0.531853,0.226152
0.550491,0.216358
0.569129,0.206667
0.587766,0.197074
0.606404,0.187571
0.625041,0.178154
0.643679,0.168818
0.662317,0.159558
0.680954,0.150370
0.699592,0.141251
0.718230,0.132197
0.736867,0.123205
0.755505,0.114271
0.774142,0.105393
0.792780,0.096569
0.811418,0.087795
0.830055,0.079070
0.848693,0.070391
0.867331,0.061758
0.885968,0.053166
0.904606,0.050000
0.923243,0.050000
