current_density_A_per_cm2,voltage_V
0.010000,1.060589
0.024368,1.011525
0.038737,0.973070
0.053105,0.940332
0.067473,0.911052
0.081841,0.883970
0.096210,0.858281
0.110578,0.833403
0.124946,0.808863
0.139315,0.784219
0.153683,0.759001
0.168051,0.732628
0.182419,0.704280
0.196788,0.672633
0.211156,0.635157
0.225524,0.585713
0.239893,0.499641
0.254261,0.383891
0.268629,0.373373
0.282997,0.363100
0.297366,0.353049
0.311734,0.343200
0.326102,0.333537
0.340471,0.324044
0.354839,0.314708
0.369207,0.305517
0.383575,0.296461
0.397944,0.287530
0.412312,0.278716
0.426680,0.270011
0.441049,0.261408
0.455417,0.252901
0.469785,0.244484
0.484153,0.236152
0.498522,0.227901
0.512890,0.219725
0.527258,0.211621
0.541627,0.203585
0.555995,0.195614
0.570363,0.187704
0.584731,0.179852
0.599100,0.172057
0.613468,0.164314
0.627836,0.156623
0.642205,0.148980
0.656573,0.141383
0.670941,0.133831
0.685309,0.126322
0.699678,0.118853
0.714046,0.111424
