current_density_A_per_cm2,voltage_V
0.010000,1.050385
0.035892,0.970126
0.061784,0.909993
0.087676,0.856196
0.113568,0.802295
0.139460,0.741277
0.165352,0.654288
0.191244,0.437304
0.217136,0.416937
0.243028,0.397686
0.268920,0.379344
0.294812,0.361753
0.320704,0.344795
0.346596,0.328377
0.372488,0.312425
0.398380,0.296879
0.424272,0.281692
0.450164,0.266821
0.476056,0.252233
0.501948,0.237900
0.527840,0.223796
0.553732,0.209901
0.579624,0.196196
0.605516,0.182665
0.631408,0.169293
0.657300,0.156069
0.683192,0.142982
0.709084,0.130020
0.734976,0.117177
0.760868,0.104443
0.786760,0.091812
0.812652,0.079276
0.838544,0.066831
0.864436,0.054471
0.890328,0.050000
0.916220,0.050000
0.942112,0.050000
0.968004,0.050000
0.993896,0.050000
1.019788,0.050000
1.045680,0.050000
1.071572,0.050000
1.097464,0.050000
1.123356,0.050000
1.149248,0.050000
1.175140,0.050000
1.201032,0.050000
1.226924,0.050000
1.252816,0.050000
1.278708,0.050000
