current_density_A_per_m2,voltage_V
0.000000,1.209979
273.337645,0.000000
546.675290,0.000000
820.012935,0.000000
1093.350580,0.000000
1366.688225,0.000000
1640.025870,0.000000
1913.363515,0.000000
2186.701160,0.000000
2460.038805,0.000000
2733.376450,0.000000
3006.714095,0.000000
3280.051740,0.000000
3553.389385,0.000000
3826.727030,0.000000
4100.064674,0.000000
4373.402319,0.000000
4646.739964,0.000000
4920.077609,0.000000
5193.415254,0.000000
5466.752899,0.000000
5740.090544,0.000000
6013.428189,0.000000
6286.765834,0.000000
6560.103479,0.000000
6833.441124,0.000000
7106.778769,0.000000
7380.116414,0.000000
7653.454059,0.000000
7926.791704,0.000000
8200.129349,0.000000
8473.466994,0.000000
8746.804639,0.000000
9020.142284,0.000000
9293.479929,0.000000
9566.817574,0.000000
9840.155219,0.000000
10113.492864,0.000000
10386.830509,0.000000
10660.168154,0.000000
10933.505799,0.000000
11206.843444,0.000000
11480.181089,0.000000
11753.518734,0.000000
12026.856379,0.000000
12300.194023,0.000000
12573.531668,0.000000
12846.869313,0.000000
13120.206958,0.000000
13393.544603,0.000000
13666.882248,0.000000
13940.219893,0.000000
14213.557538,0.000000
14486.895183,0.000000
14760.232828,0.000000
15033.570473,0.000000
15306.908118,0.000000
15580.245763,0.000000
15853.583408,0.000000
16126.921053,0.000000
