current_density_A_per_m2,voltage_V
0.000000,1.206949
204.490254,0.000000
408.980508,0.000000
613.470762,0.000000
817.961015,0.000000
1022.451269,0.000000
1226.941523,0.000000
1431.431777,0.000000
1635.922031,0.000000
1840.412285,0.000000
2044.902538,0.000000
2249.392792,0.000000
2453.883046,0.000000
2658.373300,0.000000
2862.863554,0.000000
3067.353808,0.000000
3271.844061,0.000000
3476.334315,0.000000
3680.824569,0.000000
3885.314823,0.000000
4089.805077,0.000000
4294.295331,0.000000
4498.785584,0.000000
4703.275838,0.000000
4907.766092,0.000000
5112.256346,0.000000
5316.746600,0.000000
5521.236854,0.000000
5725.727107,0.000000
5930.217361,0.000000
6134.707615,0.000000
6339.197869,0.000000
6543.688123,0.000000
6748.178377,0.000000
6952.668630,0.000000
7157.158884,0.000000
7361.649138,0.000000
7566.139392,0.000000
7770.629646,0.000000
7975.119900,0.000000
8179.610154,0.000000
8384.100407,0.000000
8588.590661,0.000000
8793.080915,0.000000
8997.571169,0.000000
9202.061423,0.000000
9406.551677,0.000000
9611.041930,0.000000
9815.532184,0.000000
10020.022438,0.000000
10224.512692,0.000000
10429.002946,0.000000
10633.493200,0.000000
10837.983453,0.000000
11042.473707,0.000000
11246.963961,0.000000
11451.454215,0.000000
11655.944469,0.000000
11860.434723,0.000000
12064.924976,0.000000
