current_density_A_per_m2,voltage_V
0.000000,1.209247
256.702694,0.000000
513.405388,0.000000
770.108082,0.000000
1026.810776,0.000000
1283.513470,0.000000
1540.216164,0.000000
1796.918858,0.000000
2053.621553,0.000000
2310.324247,0.000000
2567.026941,0.000000
2823.729635,0.000000
3080.432329,0.000000
3337.135023,0.000000
3593.837717,0.000000
3850.540411,0.000000
4107.243105,0.000000
4363.945799,0.000000
4620.648493,0.000000
4877.351187,0.000000
5134.053881,0.000000
5390.756575,0.000000
5647.459270,0.000000
5904.161964,0.000000
6160.864658,0.000000
6417.567352,0.000000
6674.270046,0.000000
6930.972740,0.000000
7187.675434,0.000000
7444.378128,0.000000
7701.080822,0.000000
7957.783516,0.000000
8214.486210,0.000000
8471.188904,0.000000
8727.891598,0.000000
8984.594292,0.000000
9241.296987,0.000000
9497.999681,0.000000
9754.702375,0.000000
10011.405069,0.000000
10268.107763,0.000000
10524.810457,0.000000
10781.513151,0.000000
11038.215845,0.000000
11294.918539,0.000000
11551.621233,0.000000
11808.323927,0.000000
12065.026621,0.000000
12321.729315,0.000000
12578.432009,0.000000
12835.134703,0.000000
13091.837398,0.000000
13348.540092,0.000000
13605.242786,0.000000
13861.945480,0.000000
14118.648174,0.000000
14375.350868,0.000000
14632.053562,0.000000
14888.756256,0.000000
15145.458950,0.000000
