current_density_A_per_cm2,voltage_V
0.010000,1.049472
0.036047,0.967163
0.062094,0.905322
0.088142,0.849623
0.114189,0.793057
0.140236,0.726998
0.166283,0.621829
0.192330,0.431359
0.218377,0.410586
0.244425,0.390953
0.270472,0.372246
0.296519,0.354304
0.322566,0.337007
0.348613,0.320261
0.374660,0.303989
0.400708,0.288132
0.426755,0.272639
0.452802,0.257469
0.478849,0.242588
0.504896,0.227966
0.530944,0.213577
0.556991,0.199401
0.583038,0.185419
0.609085,0.171613
0.635132,0.157971
0.661179,0.144479
0.687227,0.131125
0.713274,0.117901
0.739321,0.104796
0.765368,0.091803
0.791415,0.078914
0.817463,0.066123
0.843510,0.053424
0.869557,0.050000
0.895604,0.050000
0.921651,0.050000
0.947698,0.050000
0.973746,0.050000
0.999793,0.050000
1.025840,0.050000
1.051887,0.050000
1.077934,0.050000
1.103981,0.050000
1.130029,0.050000
1.156076,0.050000
1.182123,0.050000
1.208170,0.050000
1.234217,0.050000
1.260265,0.050000
1.286312,0.050000
