current_density_A_per_cm2,voltage_V
0.010000,1.044978
0.025058,0.990581
0.040116,0.946257
0.055174,0.906441
0.070232,0.868196
0.085290,0.829207
0.100348,0.786649
0.115405,0.735187
0.130463,0.657680
0.145521,0.466611
0.160579,0.452508
0.175637,0.439074
0.190695,0.426212
0.205753,0.413842
0.220811,0.401900
0.235869,0.390335
0.250927,0.379102
0.265985,0.368168
0.281043,0.357499
0.296101,0.347072
0.311158,0.336863
0.326216,0.326852
0.341274,0.317024
0.356332,0.307363
0.371390,0.297855
0.386448,0.288490
0.401506,0.279257
0.416564,0.270146
0.431622,0.261150
0.446680,0.252261
0.461738,0.243472
0.476796,0.234777
0.491854,0.226170
0.506911,0.217646
0.521969,0.209201
0.537027,0.200830
0.552085,0.192529
0.567143,0.184295
0.582201,0.176124
0.597259,0.168013
0.612317,0.159959
0.627375,0.151960
0.642433,0.144013
0.657491,0.136115
0.672549,0.128265
0.687607,0.120460
0.702664,0.112699
0.717722,0.104980
0.732780,0.097300
0.747838,0.089659
