current_density_A_per_cm2,voltage_V
0.010000,1.059136
0.013878,1.044362
0.017755,1.030806
0.021633,1.018220
0.025510,1.006423
0.029388,0.995277
0.033265,0.984676
0.037143,0.974534
0.041020,0.964783
0.044898,0.955366
0.048776,0.946237
0.052653,0.937354
0.056531,0.928684
0.060408,0.920195
0.064286,0.911863
0.068163,0.903662
0.072041,0.895571
0.075918,0.887570
0.079796,0.879640
0.083673,0.871765
0.087551,0.863926
0.091429,0.856108
0.095306,0.848294
0.099184,0.840468
0.103061,0.832613
0.106939,0.824712
0.110816,0.816746
0.114694,0.808696
0.118571,0.800541
0.122449,0.792257
0.126327,0.783818
0.130204,0.775195
0.134082,0.766353
0.137959,0.757252
0.141837,0.747846
0.145714,0.738076
0.149592,0.727873
0.153469,0.717148
0.157347,0.705789
0.161224,0.693648
0.165102,0.680523
0.168980,0.666133
0.172857,0.650062
0.176735,0.631662
0.180612,0.609831
0.184490,0.582463
0.188367,0.544661
0.192245,0.479435
0.196122,0.433931
0.200000,0.430715
