current_density_A_per_cm2,voltage_V
0.010000,1.033501
0.017384,1.005678
0.024769,0.981233
0.032153,0.958990
0.039537,0.938212
0.046921,0.918395
0.054306,0.899150
0.061690,0.880154
0.069074,0.861104
0.076458,0.841685
0.083843,0.821530
0.091227,0.800161
0.098611,0.776895
0.105995,0.750628
0.113380,0.719326
0.120764,0.678403
0.128148,0.612731
0.135532,0.475554
0.142917,0.468723
0.150301,0.462084
0.157685,0.455618
0.165069,0.449314
0.172454,0.443157
0.179838,0.437137
0.187222,0.431244
0.194606,0.425469
0.201991,0.419803
0.209375,0.414241
0.216759,0.408775
0.224143,0.403399
0.231528,0.398108
0.238912,0.392897
0.246296,0.387762
0.253680,0.382698
0.261065,0.377701
0.268449,0.372769
0.275833,0.367898
0.283218,0.363084
0.290602,0.358326
0.297986,0.353620
0.305370,0.348964
0.312755,0.344356
0.320139,0.339794
0.327523,0.335275
0.334907,0.330798
0.342292,0.326362
0.349676,0.321964
0.357060,0.317603
0.364444,0.313278
0.371829,0.308987
