current_density_A_per_cm2,voltage_V
0.010000,1.037014
0.024161,0.985912
0.038323,0.943830
0.052484,0.905833
0.066646,0.869219
0.080807,0.831806
0.094969,0.790914
0.109130,0.741524
0.123291,0.668093
0.137453,0.473363
0.151614,0.460308
0.165776,0.447902
0.179937,0.436049
0.194098,0.424674
0.208260,0.413715
0.222421,0.403122
0.236583,0.392854
0.250744,0.382876
0.264906,0.373158
0.279067,0.363675
0.293228,0.354405
0.307390,0.345329
0.321551,0.336432
0.335713,0.327697
0.349874,0.319113
0.364036,0.310669
0.378197,0.302354
0.392358,0.294159
0.406520,0.286076
0.420681,0.278097
0.434843,0.270217
0.449004,0.262429
0.463165,0.254728
0.477327,0.247108
0.491488,0.239565
0.505650,0.232095
0.519811,0.224694
0.533973,0.217359
0.548134,0.210085
0.562295,0.202870
0.576457,0.195712
0.590618,0.188607
0.604780,0.181554
0.618941,0.174549
0.633103,0.167590
0.647264,0.160677
0.661425,0.153806
0.675587,0.146976
0.689748,0.140186
0.703910,0.133433
