current_density_A_per_m2,voltage_V
0.000000,1.210199
278.336721,0.000000
556.673441,0.000000
835.010162,0.000000
1113.346882,0.000000
1391.683603,0.000000
1670.020324,0.000000
1948.357044,0.000000
2226.693765,0.000000
2505.030485,0.000000
2783.367206,0.000000
3061.703926,0.000000
3340.040647,0.000000
3618.377368,0.000000
3896.714088,0.000000
4175.050809,0.000000
4453.387529,0.000000
4731.724250,0.000000
5010.060971,0.000000
5288.397691,0.000000
5566.734412,0.000000
5845.071132,0.000000
6123.407853,0.000000
6401.744574,0.000000
6680.081294,0.000000
6958.418015,0.000000
7236.754735,0.000000
7515.091456,0.000000
7793.428176,0.000000
8071.764897,0.000000
8350.101618,0.000000
8628.438338,0.000000
8906.775059,0.000000
9185.111779,0.000000
9463.448500,0.000000
9741.785221,0.000000
10020.121941,0.000000
10298.458662,0.000000
10576.795382,0.000000
10855.132103,0.000000
11133.468824,0.000000
11411.805544,0.000000
11690.142265,0.000000
11968.478985,0.000000
12246.815706,0.000000
12525.152426,0.000000
12803.489147,0.000000
13081.825868,0.000000
13360.162588,0.000000
13638.499309,0.000000
13916.836029,0.000000
14195.172750,0.000000
14473.509471,0.000000
14751.846191,0.000000
15030.182912,0.000000
15308.519632,0.000000
15586.856353,0.000000
15865.193074,0.000000
16143.529794,0.000000
16421.866515,0.000000
