current_density_A_per_cm2,voltage_V
0.010000,1.039215
0.021925,0.989530
0.033850,0.945750
0.045775,0.903523
0.057700,0.859245
0.069625,0.807518
0.081550,0.733119
0.093475,0.517485
0.105400,0.503038
0.117325,0.489474
0.129250,0.476645
0.141175,0.464438
0.153100,0.452765
0.165025,0.441554
0.176950,0.430747
0.188875,0.420298
0.200800,0.410165
0.212725,0.400317
0.224650,0.390723
0.236574,0.381361
0.248499,0.372209
0.260424,0.363249
0.272349,0.354465
0.284274,0.345842
0.296199,0.337369
0.308124,0.329034
0.320049,0.320828
0.331974,0.312741
0.343899,0.304766
0.355824,0.296895
0.367749,0.289122
0.379674,0.281441
0.391599,0.273846
0.403524,0.266334
0.415449,0.258898
0.427374,0.251535
0.439299,0.244241
0.451224,0.237012
0.463149,0.229846
0.475074,0.222739
0.486999,0.215689
0.498924,0.208692
0.510849,0.201747
0.522774,0.194850
0.534699,0.188001
0.546624,0.181196
0.558549,0.174435
0.570474,0.167714
0.582399,0.161034
0.594324,0.154391
