current_density_A_per_cm2,voltage_V
0.010000,1.068896
0.019239,1.037715
0.028479,1.012013
0.037718,0.989847
0.046958,0.970145
0.056197,0.952252
0.065437,0.935738
0.074676,0.920305
0.083916,0.905736
0.093155,0.891871
0.102394,0.878584
0.111634,0.865776
0.120873,0.853369
0.130113,0.841295
0.139352,0.829499
0.148592,0.817934
0.157831,0.806557
0.167071,0.795331
0.176310,0.784223
0.185549,0.773201
0.194789,0.762234
0.204028,0.751294
0.213268,0.740353
0.222507,0.729380
0.231747,0.718346
0.240986,0.707218
0.250226,0.695963
0.259465,0.684540
0.268704,0.672907
0.277944,0.661012
0.287183,0.648796
0.296423,0.636187
0.305662,0.623094
0.314902,0.609404
0.324141,0.594970
0.333381,0.579592
0.342620,0.562992
0.351859,0.544762
0.361099,0.524270
0.370338,0.500449
0.379578,0.471274
0.388817,0.432113
0.398057,0.367429
0.407296,0.303716
0.416536,0.298353
0.425775,0.293034
0.435014,0.287757
0.444254,0.282520
0.453493,0.277321
0.462733,0.272159
