current_density_A_per_cm2,voltage_V
0.010000,1.048768
0.040333,0.947641
0.070666,0.867660
0.100998,0.783612
0.131331,0.645012
0.161664,0.450146
0.191997,0.423084
0.222330,0.398046
0.252663,0.374554
0.282995,0.352281
0.313328,0.330994
0.343661,0.310520
0.373994,0.290731
0.404327,0.271523
0.434660,0.252816
0.464992,0.234547
0.495325,0.216660
0.525658,0.199114
0.555991,0.181871
0.586324,0.164899
0.616657,0.148173
0.646989,0.131669
0.677322,0.115367
0.707655,0.099252
0.737988,0.083306
0.768321,0.067517
0.798653,0.051874
0.828986,0.050000
0.859319,0.050000
0.889652,0.050000
0.919985,0.050000
0.950318,0.050000
0.980650,0.050000
1.010983,0.050000
1.041316,0.050000
1.071649,0.050000
1.101982,0.050000
1.132315,0.050000
1.162647,0.050000
1.192980,0.050000
1.223313,0.050000
1.253646,0.050000
1.283979,0.050000
1.314312,0.050000
1.344644,0.050000
1.374977,0.050000
1.405310,0.050000
1.435643,0.050000
1.465976,0.050000
1.496308,0.050000
