current_density_A_per_cm2,voltage_V
0.010000,1.055554
0.030928,0.993894
0.051856,0.949295
0.072783,0.912647
0.093711,0.880464
0.114639,0.851002
0.135567,0.823225
0.156494,0.796424
0.177422,0.770049
0.198350,0.743598
0.219278,0.716549
0.240205,0.688254
0.261133,0.657797
0.282061,0.623653
0.302989,0.582798
0.323916,0.527320
0.344844,0.417055
0.365772,0.332669
0.386700,0.320845
0.407627,0.309271
0.428555,0.297921
0.449483,0.286777
0.470411,0.275820
0.491339,0.265034
0.512266,0.254406
0.533194,0.243924
0.554122,0.233576
0.575050,0.223354
0.595977,0.213247
0.616905,0.203250
0.637833,0.193354
0.658761,0.183553
0.679688,0.173842
0.700616,0.164214
0.721544,0.154667
0.742472,0.145194
0.763399,0.135792
0.784327,0.126457
0.805255,0.117186
0.826183,0.107975
0.847111,0.098822
0.868038,0.089724
0.888966,0.080678
0.909894,0.071682
0.930822,0.062733
0.951749,0.053830
0.972677,0.050000
0.993605,0.050000
1.014533,0.050000
1.035460,0.050000
