current_density_A_per_cm2,voltage_V
0.010000,1.056216
0.039989,0.968087
0.069978,0.904314
0.099967,0.848014
0.129956,0.792132
0.159945,0.729552
0.189934,0.642035
0.219923,0.420644
0.249912,0.398595
0.279901,0.377701
0.309890,0.357740
0.339879,0.338551
0.369868,0.320010
0.399856,0.302020
0.429845,0.284505
0.459834,0.267405
0.489823,0.250668
0.519812,0.234254
0.549801,0.218126
0.579790,0.202257
0.609779,0.186620
0.639768,0.171195
0.669757,0.155961
0.699746,0.140903
0.729735,0.126007
0.759724,0.111260
0.789713,0.096650
0.819702,0.082168
0.849691,0.067804
0.879680,0.053551
0.909669,0.050000
0.939658,0.050000
0.969647,0.050000
0.999636,0.050000
1.029625,0.050000
1.059614,0.050000
1.089603,0.050000
1.119592,0.050000
1.149580,0.050000
1.179569,0.050000
1.209558,0.050000
1.239547,0.050000
1.269536,0.050000
1.299525,0.050000
1.329514,0.050000
1.359503,0.050000
1.389492,0.050000
1.419481,0.050000
1.449470,0.050000
1.479459,0.050000
