current_density_A_per_cm2,voltage_V
0.010000,1.036539
0.026217,0.975547
0.042434,0.924142
0.058651,0.874897
0.074869,0.821989
0.091086,0.754827
0.107303,0.614503
0.123520,0.484752
0.139737,0.468581
0.155954,0.453396
0.172172,0.439023
0.188389,0.425331
0.204606,0.412217
0.220823,0.399600
0.237040,0.387416
0.253257,0.375612
0.269474,0.364144
0.285692,0.352974
0.301909,0.342074
0.318126,0.331415
0.334343,0.320975
0.350560,0.310735
0.366777,0.300677
0.382995,0.290787
0.399212,0.281051
0.415429,0.271458
0.431646,0.261997
0.447863,0.252658
0.464080,0.243434
0.480297,0.234317
0.496515,0.225300
0.512732,0.216377
0.528949,0.207543
0.545166,0.198791
0.561383,0.190118
0.577600,0.181518
0.593818,0.172989
0.610035,0.164527
0.626252,0.156127
0.642469,0.147788
0.658686,0.139505
0.674903,0.131277
0.691120,0.123101
0.707338,0.114974
0.723555,0.106895
0.739772,0.098861
0.755989,0.090870
0.772206,0.082921
0.788423,0.075012
0.804641,0.067141
