current_density_A_per_cm2,voltage_V
0.010000,1.038902
0.039754,0.938920
0.069508,0.855890
0.099262,0.758272
0.129016,0.481101
0.158770,0.452839
0.188524,0.427241
0.218279,0.403593
0.248033,0.381436
0.277787,0.360455
0.307541,0.340424
0.337295,0.321180
0.367049,0.302596
0.396803,0.284573
0.426557,0.267035
0.456311,0.249919
0.486065,0.233174
0.515819,0.216757
0.545573,0.200633
0.575328,0.184772
0.605082,0.169148
0.634836,0.153739
0.664590,0.138526
0.694344,0.123492
0.724098,0.108623
0.753852,0.093906
0.783606,0.079329
0.813360,0.064882
0.843114,0.050556
0.872868,0.050000
0.902622,0.050000
0.932377,0.050000
0.962131,0.050000
0.991885,0.050000
1.021639,0.050000
1.051393,0.050000
1.081147,0.050000
1.110901,0.050000
1.140655,0.050000
1.170409,0.050000
1.200163,0.050000
1.229917,0.050000
1.259671,0.050000
1.289426,0.050000
1.319180,0.050000
1.348934,0.050000
1.378688,0.050000
1.408442,0.050000
1.438196,0.050000
1.467950,0.050000
