current_density_A_per_m2,voltage_V
0.000000,1.206402
192.063460,0.000000
384.126919,0.000000
576.190379,0.000000
768.253839,0.000000
960.317298,0.000000
1152.380758,0.000000
1344.444218,0.000000
1536.507678,0.000000
1728.571137,0.000000
1920.634597,0.000000
2112.698057,0.000000
2304.761516,0.000000
2496.824976,0.000000
2688.888436,0.000000
2880.951895,0.000000
3073.015355,0.000000
3265.078815,0.000000
3457.142275,0.000000
3649.205734,0.000000
3841.269194,0.000000
4033.332654,0.000000
4225.396113,0.000000
4417.459573,0.000000
4609.523033,0.000000
4801.586492,0.000000
4993.649952,0.000000
5185.713412,0.000000
5377.776871,0.000000
5569.840331,0.000000
5761.903791,0.000000
5953.967251,0.000000
6146.030710,0.000000
6338.094170,0.000000
6530.157630,0.000000
6722.221089,0.000000
6914.284549,0.000000
7106.348009,0.000000
7298.411468,0.000000
7490.474928,0.000000
7682.538388,0.000000
7874.601848,0.000000
8066.665307,0.000000
8258.728767,0.000000
8450.792227,0.000000
8642.855686,0.000000
8834.919146,0.000000
9026.982606,0.000000
9219.046065,0.000000
9411.109525,0.000000
9603.172985,0.000000
9795.236444,0.000000
9987.299904,0.000000
10179.363364,0.000000
10371.426824,0.000000
10563.490283,0.000000
10755.553743,0.000000
10947.617203,0.000000
11139.680662,0.000000
11331.744122,0.000000
