current_density_A_per_cm2,voltage_V
0.010000,1.061107
0.026028,1.005021
0.042055,0.960766
0.058083,0.922264
0.074110,0.886708
0.090138,0.852378
0.106165,0.817884
0.122193,0.781709
0.138221,0.741611
0.154248,0.693074
0.170276,0.622256
0.186303,0.435830
0.202331,0.421898
0.218358,0.408474
0.234386,0.395494
0.250414,0.382902
0.266441,0.370655
0.282469,0.358713
0.298496,0.347047
0.314524,0.335629
0.330551,0.324435
0.346579,0.313445
0.362607,0.302643
0.378634,0.292012
0.394662,0.281540
0.410689,0.271214
0.426717,0.261023
0.442744,0.250958
0.458772,0.241010
0.474800,0.231172
0.490827,0.221436
0.506855,0.211797
0.522882,0.202248
0.538910,0.192785
0.554937,0.183402
0.570965,0.174095
0.586993,0.164860
0.603020,0.155693
0.619048,0.146590
0.635075,0.137550
0.651103,0.128567
0.667130,0.119641
0.683158,0.110768
0.699186,0.101945
0.715213,0.093171
0.731241,0.084444
0.747268,0.075761
0.763296,0.067120
0.779323,0.058521
0.795351,0.050000
