current_density_A_per_cm2,voltage_V
0.010000,1.056901
0.024095,1.006488
0.038191,0.965497
0.052286,0.929190
0.066381,0.895187
0.080476,0.861903
0.094572,0.827924
0.108667,0.791526
0.122762,0.749853
0.136857,0.696297
0.150953,0.603818
0.165048,0.457193
0.179143,0.444480
0.193238,0.432247
0.207334,0.420432
0.221429,0.408985
0.235524,0.397864
0.249619,0.387034
0.263715,0.376465
0.277810,0.366132
0.291905,0.356014
0.306000,0.346090
0.320096,0.336346
0.334191,0.326765
0.348286,0.317336
0.362381,0.308047
0.376477,0.298888
0.390572,0.289849
0.404667,0.280923
0.418762,0.272103
0.432858,0.263381
0.446953,0.254751
0.461048,0.246209
0.475143,0.237749
0.489239,0.229366
0.503334,0.221056
0.517429,0.212815
0.531524,0.204641
0.545620,0.196528
0.559715,0.188475
0.573810,0.180479
0.587905,0.172536
0.602001,0.164645
0.616096,0.156802
0.630191,0.149007
0.644286,0.141257
0.658382,0.133549
0.672477,0.125883
0.686572,0.118256
0.700668,0.110667
