current_density_A_per_m2,voltage_V
0.000000,1.205715
176.465782,0.000000
352.931565,0.000000
529.397347,0.000000
705.863129,0.000000
882.328912,0.000000
1058.794694,0.000000
1235.260476,0.000000
1411.726259,0.000000
1588.192041,0.000000
1764.657823,0.000000
1941.123606,0.000000
2117.589388,0.000000
2294.055170,0.000000
2470.520953,0.000000
2646.986735,0.000000
2823.452517,0.000000
2999.918300,0.000000
3176.384082,0.000000
3352.849865,0.000000
3529.315647,0.000000
3705.781429,0.000000
3882.247212,0.000000
4058.712994,0.000000
4235.178776,0.000000
4411.644559,0.000000
4588.110341,0.000000
4764.576123,0.000000
4941.041906,0.000000
5117.507688,0.000000
5293.973470,0.000000
5470.439253,0.000000
5646.905035,0.000000
5823.370817,0.000000
5999.836600,0.000000
6176.302382,0.000000
6352.768164,0.000000
6529.233947,0.000000
6705.699729,0.000000
6882.165511,0.000000
7058.631294,0.000000
7235.097076,0.000000
7411.562858,0.000000
7588.028641,0.000000
7764.494423,0.000000
7940.960205,0.000000
8117.425988,0.000000
8293.891770,0.000000
8470.357552,0.000000
8646.823335,0.000000
8823.289117,0.000000
8999.754899,0.000000
9176.220682,0.000000
9352.686464,0.000000
9529.152246,0.000000
9705.618029,0.000000
9882.083811,0.000000
10058.549594,0.000000
10235.015376,0.000000
10411.481158,0.000000
