current_density_A_per_cm2,voltage_V
0.010000,1.049852
0.026905,0.985424
0.043811,0.931474
0.060716,0.879927
0.077622,0.824555
0.094527,0.753791
0.111433,0.593013
0.128338,0.484329
0.145244,0.466797
0.162149,0.450284
0.179055,0.434609
0.195960,0.419635
0.212866,0.405257
0.229771,0.391391
0.246677,0.377970
0.263582,0.364939
0.280488,0.352253
0.297393,0.339875
0.314299,0.327771
0.331204,0.315916
0.348110,0.304285
0.365015,0.292859
0.381921,0.281620
0.398826,0.270552
0.415732,0.259643
0.432637,0.248879
0.449543,0.238251
0.466448,0.227748
0.483354,0.217363
0.500259,0.207086
0.517165,0.196913
0.534070,0.186835
0.550976,0.176847
0.567881,0.166945
0.584787,0.157122
0.601692,0.147375
0.618598,0.137700
0.635503,0.128093
0.652409,0.118551
0.669314,0.109069
0.686219,0.099646
0.703125,0.090278
0.720030,0.080964
0.736936,0.071700
0.753841,0.062484
0.770747,0.053315
0.787652,0.050000
0.804558,0.050000
0.821463,0.050000
0.838369,0.050000
