current_density_A_per_cm2,voltage_V
0.010000,1.074932
0.020891,1.038236
0.031781,1.008751
0.042672,0.983676
0.053562,0.961568
0.064453,0.941582
0.075343,0.923183
0.086234,0.906006
0.097125,0.889794
0.108015,0.874355
0.118906,0.859542
0.129796,0.845242
0.140687,0.831362
0.151577,0.817824
0.162468,0.804565
0.173359,0.791527
0.184249,0.778661
0.195140,0.765921
0.206030,0.753266
0.216921,0.740654
0.227811,0.728045
0.238702,0.715399
0.249593,0.702674
0.260483,0.689824
0.271374,0.676800
0.282264,0.663546
0.293155,0.649994
0.304045,0.636069
0.314936,0.621672
0.325827,0.606684
0.336717,0.590946
0.347608,0.574247
0.358498,0.556290
0.369389,0.536634
0.380279,0.514593
0.391170,0.488987
0.402061,0.457526
0.412951,0.414720
0.423842,0.340031
0.434732,0.283425
0.445623,0.277077
0.456513,0.270782
0.467404,0.264539
0.478295,0.258345
0.489185,0.252199
0.500076,0.246098
0.510966,0.240040
0.521857,0.234023
0.532747,0.228047
0.543638,0.222109
