current_density_A_per_cm2,voltage_V
0.010000,1.046039
0.025878,0.984861
0.041756,0.933693
0.057633,0.885481
0.073511,0.835263
0.089389,0.775729
0.105267,0.682202
0.121144,0.487873
0.137022,0.471008
0.152900,0.455153
0.168778,0.440131
0.184655,0.425808
0.200533,0.412078
0.216411,0.398860
0.232289,0.386086
0.248166,0.373702
0.264044,0.361664
0.279922,0.349934
0.295800,0.338480
0.311677,0.327275
0.327555,0.316295
0.343433,0.305521
0.359311,0.294935
0.375188,0.284522
0.391066,0.274267
0.406944,0.264159
0.422822,0.254188
0.438699,0.244343
0.454577,0.234615
0.470455,0.224998
0.486333,0.215484
0.502211,0.206067
0.518088,0.196741
0.533966,0.187501
0.549844,0.178341
0.565722,0.169258
0.581599,0.160247
0.597477,0.151304
0.613355,0.142427
0.629233,0.133612
0.645110,0.124855
0.660988,0.116154
0.676866,0.107507
0.692744,0.098911
0.708621,0.090364
0.724499,0.081864
0.740377,0.073408
0.756255,0.064995
0.772132,0.056623
0.788010,0.050000
