current_density_A_per_cm2,voltage_V
0.010000,1.036091
0.037289,0.941669
0.064578,0.861837
0.091867,0.768081
0.119156,0.489995
0.146445,0.463140
0.173734,0.438862
0.201022,0.416479
0.228311,0.395549
0.255600,0.375767
0.282889,0.356917
0.310178,0.338837
0.337467,0.321406
0.364756,0.304528
0.392045,0.288126
0.419334,0.272140
0.446623,0.256519
0.473912,0.241222
0.501201,0.226215
0.528490,0.211467
0.555778,0.196953
0.583067,0.182652
0.610356,0.168545
0.637645,0.154615
0.664934,0.140848
0.692223,0.127231
0.719512,0.113753
0.746801,0.100404
0.774090,0.087175
0.801379,0.074058
0.828668,0.061045
0.855957,0.050000
0.883246,0.050000
0.910534,0.050000
0.937823,0.050000
0.965112,0.050000
0.992401,0.050000
1.019690,0.050000
1.046979,0.050000
1.074268,0.050000
1.101557,0.050000
1.128846,0.050000
1.156135,0.050000
1.183424,0.050000
1.210713,0.050000
1.238002,0.050000
1.265291,0.050000
1.292579,0.050000
1.319868,0.050000
1.347157,0.050000
