State,Total_Registered_SMEs,Manufacturing,Trading_Commerce,Services,Agriculture_Agro_Processing,ICT_Technology,Construction,Transportation,Healthcare,Education,Hospitality_Tourism,Average_Power_Need_kW,Total_Estimated_Power_Demand_MW,Current_Backup_Generator_Percentage
Lagos,248500,28500,85200,62400,8200,35800,14200,18500,12400,15200,8100,45,11183,92
Kano,98200,14800,38500,18200,12400,5800,6200,8500,4200,6800,2800,38,3732,85
Ogun,82500,22400,24500,15800,9200,4200,3800,5200,2800,3400,1200,42,3465,88
Rivers,72800,8500,22400,18500,4200,8200,5800,6500,3800,4200,690,48,3494,89
Oyo,68400,9800,24200,16500,8500,3800,3200,5400,2800,3200,1000,40,2736,82
Kaduna,64200,8200,22500,14200,9800,3200,2800,4800,2400,2800,780,39,2504,80
Anambra,78500,18500,32500,12800,4200,4800,2400,6200,2200,2800,620,41,3219,87
FCT,95800,6200,28500,32400,2800,14200,5800,8500,6200,7800,3400,52,4982,91
Enugu,48200,6500,18200,10800,5400,2800,2200,3800,1800,2200,520,39,1880,79
Imo,52400,8200,18500,11200,6800,2400,2000,4200,1600,1800,440,38,1991,78
Akwa Ibom,45800,5200,15800,10200,8500,1800,2400,3200,1400,1600,380,40,1832,77
Delta,54200,6800,18200,12400,8200,2200,2800,4400,1800,2000,480,41,2222,81
Edo,46500,7200,16800,10500,6200,2400,2200,3400,1600,1800,420,40,1860,80
Abia,58200,12400,22400,9800,5800,2200,1800,4800,1200,1400,360,39,2270,83
Plateau,38400,4800,14200,8500,5400,1600,1800,2800,1200,1400,320,38,1459,75
Cross River,34800,4200,12400,8200,5200,1400,1600,2400,1000,1200,280,39,1357,74
Kogi,32500,3800,11800,7200,5800,1200,1400,2200,980,1100,240,37,1203,73
Kwara,35800,4500,12800,8400,5400,1400,1600,2400,1100,1200,260,38,1360,74
Bayelsa,18200,1800,5800,4200,2800,820,1200,1400,620,680,180,42,764,76
Niger,42400,4800,14200,9200,8500,1400,1800,2800,1200,1400,320,37,1569,72
Ondo,38200,5200,13200,8400,6800,1200,1600,2400,1100,1200,280,38,1452,75
Osun,36800,5400,12800,8200,5800,1200,1400,2200,1000,1100,260,37,1362,73
Ekiti,28400,3400,9800,6200,4800,980,1100,1800,820,920,220,36,1022,71
Nasarawa,24800,2800,8200,5400,4800,820,1100,1600,680,780,180,36,893,70
Benue,34200,4200,11200,7800,6800,1100,1400,2200,980,1100,240,36,1231,72
Taraba,18600,2200,5800,4200,3800,580,820,1200,520,580,160,35,651,68
Adamawa,24200,2800,7800,5400,4800,720,980,1600,640,720,180,36,871,70
Borno,28400,3200,9200,6200,5400,820,1100,1800,720,820,200,35,994,69
Yobe,16800,1800,5200,3800,3400,480,680,1100,420,480,140,34,571,67
Gombe,18200,2000,5800,4000,3800,520,720,1200,480,540,150,35,637,68
Bauchi,32800,3800,10800,7200,6400,980,1200,2000,820,920,220,35,1148,71
Jigawa,28600,3200,9200,6400,5800,720,980,1800,680,780,190,34,973,69
Katsina,38200,4400,12400,8200,7800,980,1400,2400,880,980,240,35,1337,72
Kebbi,22400,2400,7200,4800,4800,620,820,1400,560,620,160,34,762,68
Sokoto,26800,3000,8600,5800,5800,720,980,1800,640,720,180,34,911,69
Zamfara,20400,2200,6400,4400,4200,560,720,1200,520,580,140,33,673,67
