Cluster_Name,State,LGA,Type,Location_Coordinates,Number_of_Companies,Primary_Industries,Estimated_Power_Demand_MW,Current_Power_Supply_MW,Power_Deficit_MW,Grid_Reliability_Percent,Average_Generator_Runtime_Hours_Per_Day,Estimated_Diesel_Consumption_Liters_Per_Day,Industrial_Estate_Area_Hectares,Gas_Pipeline_Proximity_km,SOFC_Suitability_Score
Ikeja Industrial Estate,Lagos,Ikeja,Mixed Manufacturing,"6.5833, 3.3500",450,"Plastics, Food Processing, Pharmaceuticals, Electronics",185,95,90,45,16,425000,320,8.5,9.2
Agbara Industrial Estate,Ogun,Ado-Odo-Ota,Mixed Manufacturing,"6.4833, 2.9833",380,"Chemicals, Steel, Food Processing, Textiles",220,110,110,42,17,550000,680,4.2,9.5
Nnewi Industrial Cluster,Anambra,Nnewi North,Auto Parts & Manufacturing,"6.0196, 6.9167",320,"Automotive Parts, Plastics, Metal Fabrication",145,65,80,38,18,380000,240,12.0,8.8
Trans-Amadi Industrial Layout,Rivers,Port Harcourt,Mixed Manufacturing,"4.8200, 7.0333",290,"Metal Fabrication, Chemicals, Oil & Gas Services",175,88,87,48,15,420000,410,3.8,9.4
Oregun Industrial Estate,Lagos,Ikeja,Mixed Manufacturing,"6.5833, 3.3667",180,"Printing, Furniture, Light Manufacturing",72,38,34,48,14,160000,85,9.2,8.5
Isolo Industrial Estate,Lagos,Oshodi-Isolo,Mixed Manufacturing,"6.5333, 3.3333",240,"Food Processing, Beverages, Packaging",98,52,46,46,15,215000,145,10.5,8.7
Ilupeju Industrial Estate,Lagos,Mushin,Mixed Manufacturing,"6.5500, 3.3667",210,"Metal Works, Machinery, Manufacturing",88,45,43,45,16,205000,128,11.0,8.6
Ogba Industrial Scheme,Lagos,Ifako-Ijaiye,Light Manufacturing,"6.6333, 3.3500",165,"Light Manufacturing, Trading, Warehousing",62,35,27,50,13,125000,95,12.5,8.2
Apapa Industrial Area,Lagos,Apapa,Ports & Manufacturing,"6.4333, 3.3667",280,"Ports, Shipping, Food Processing, Warehousing",145,75,70,52,14,330000,320,6.8,9.0
Challawa Industrial Estate,Kano,Kumbotso,Textile & Manufacturing,"11.9667, 8.4833",140,"Textiles, Tanning, Food Processing",68,28,40,35,18,185000,185,18.5,7.8
Sharada Industrial Estate,Kano,Kano Municipal,Mixed Manufacturing,"12.0333, 8.5333",175,"Textiles, Plastics, Food Processing",82,35,47,36,17,220000,210,16.0,8.0
Kaduna Industrial Estate,Kaduna,Kaduna South,Mixed Manufacturing,"10.4833, 7.4333",165,"Textiles, Metal Products, Automotive",78,38,40,42,16,185000,195,7.5,8.6
Kakuri Industrial Layout,Kaduna,Kaduna South,Manufacturing & Services,"10.5000, 7.4167",125,"Metal Fabrication, Construction Materials",58,28,30,40,16,140000,110,8.2,8.3
Onitsha Industrial Layout,Anambra,Onitsha North,Trading & Light Manufacturing,"6.1500, 6.7833",195,"Plastics, Pharmaceuticals, Food Processing",88,42,46,40,17,215000,160,9.5,8.5
Enugu Industrial Layout,Enugu,Enugu South,Mixed Manufacturing,"6.4167, 7.5000",148,"Cement, Beverages, Pharmaceuticals",72,35,37,42,16,170000,145,11.8,8.4
