year,state,livestock_type,population,daily_manure_per_animal_kg,total_daily_manure_tonnes,annual_manure_tonnes,collection_efficiency_percent,collectible_manure_tonnes,biogas_yield_m3_per_kg,annual_biogas_potential_m3,methane_content_percent,annual_methane_potential_m3,sofc_potential_mwh_per_year,manure_collection_cost_naira_per_tonne,biogas_plant_investment_naira_per_m3,land_requirement_hectares,water_requirement_liters_per_day,feed_requirement_tonnes_per_year
2020,Abia,Cattle,95718,20.0,1914.36,698742.39,30.0,209622.72,0.04,8384908.69,60,5030945.22,30041.99,8000.0,112637.87755874469,47859.067892391606,4785906.789239161,239295.33946195804
2020,Adamawa,Cattle,1393956,20.0,27879.12,10175880.25,30.0,3052764.08,0.04,122110563.04,60,73266337.82,437505.54,8000.0,113860.57354761113,696978.0995272468,69697809.95272468,3484890.497636234
2020,Akwa Ibom,Cattle,130054,20.0,2601.08,949395.93,30.0,284818.78,0.04,11392751.14,60,6835650.69,40818.68,8000.0,90089.64080693446,65027.11840367466,6502711.840367466,325135.5920183733
2020,Anambra,Cattle,84080,20.0,1681.61,613788.9,30.0,184136.67,0.04,7365466.77,60,4419280.06,26389.47,8000.0,98421.5798909656,42040.33542997023,4204033.542997023,210201.67714985117
2020,Bauchi,Cattle,1495759,20.0,29915.19,10919045.04,30.0,3275713.51,0.04,131028540.51,60,78617124.3,469457.44,8000.0,109139.62708646452,747879.7974046086,74787979.74046086,3739398.987023043
2020,Bayelsa,Cattle,84423,20.0,1688.46,616289.06,30.0,184886.72,0.04,7395468.74,60,4437281.24,26496.96,8000.0,106246.47350724286,42211.5795719978,4221157.957199779,211057.897859989
2020,Benue,Cattle,467742,20.0,9354.86,3414523.0,30.0,1024356.9,0.04,40974276.02,60,24584565.61,146805.26,8000.0,101801.07675587753,233871.43847348535,23387143.847348534,1169357.1923674268
2020,Borno,Cattle,1645400,20.0,32908.02,12011426.73,30.0,3603428.02,0.04,144137120.75,60,86482272.45,516423.7,8000.0,117495.52265988477,822700.4609286762,82270046.09286761,4113502.304643381
2020,Cross River,Cattle,136295,20.0,2725.9,994955.05,30.0,298486.51,0.04,11939460.58,60,7163676.35,42777.46,8000.0,86592.59262917748,68147.60603695519,6814760.603695518,340738.03018477594
2020,Delta,Cattle,166742,20.0,3334.84,1217218.32,30.0,365165.5,0.04,14606619.86,60,8763971.92,52333.53,8000.0,109039.19639941183,83371.11792218212,8337111.792218212,416855.5896109106
2020,Ebonyi,Cattle,138262,20.0,2765.25,1009315.66,30.0,302794.7,0.04,12111787.87,60,7267072.72,43394.89,8000.0,88540.45465242688,69131.2092881403,6913120.928814029,345656.04644070147
2020,Edo,Cattle,220257,20.0,4405.15,1607879.88,30.0,482363.97,0.04,19294558.62,60,11576735.17,69129.78,8000.0,113628.12112044799,110128.75924494023,11012875.924494023,550643.7962247011
2020,Ekiti,Cattle,104656,20.0,2093.12,763989.03,30.0,229196.71,0.04,9167868.31,60,5500720.98,32847.23,8000.0,101689.48821967393,52328.01544766251,5232801.544766251,261640.07723831254
2020,Enugu,Cattle,111987,20.0,2239.75,817509.84,30.0,245252.95,0.04,9810118.07,60,5886070.84,35148.32,8000.0,100334.4218766512,55993.824595046506,5599382.459504651,279969.12297523255
2020,FCT,Cattle,191901,20.0,3838.04,1400884.15,39.0,546344.82,0.04,21853792.71,60,13112275.62,78299.17,11200.0,102600.87971436064,95950.96902637642,9595096.902637642,479754.8451318821
2020,Gombe,Cattle,622666,20.0,12453.32,4545463.52,30.0,1363639.06,0.04,54545562.3,60,32727337.38,195429.33,8000.0,114932.9166344323,311333.1181230055,31133311.812300548,1556665.5906150276
2020,Imo,Cattle,92453,20.0,1849.06,674908.68,30.0,202472.61,0.04,8098904.21,60,4859342.52,29017.27,8000.0,110444.86148172632,46226.62218581324,4622662.218581324,231133.1109290662
2020,Jigawa,Cattle,932014,20.0,18640.29,6803704.59,30.0,2041111.38,0.04,81644455.04,60,48986673.03,292520.98,8000.0,98462.2989767916,466007.1634954573,46600716.34954573,2330035.817477287
2020,Kaduna,Cattle,1442986,20.0,28859.72,10533798.66,39.0,4108181.48,0.04,164327259.16,60,98596355.49,588762.22,8000.0,89867.15458086492,721493.059172335,72149305.9172335,3607465.295861675
