sample_id,temperature,fuel_utilization,anode_porosity,anode_thickness,cathode_thickness,electrolyte_thickness,active_area,operating_current_density,operating_voltage,stack_temperature,electrochemical_efficiency,open_circuit_voltage,max_power_density
0,774.9080237694725,0.7563803261472197,0.39735126906628465,493.03857531166693,44.23828653729046,8.077357438473218,95.04888588818699,8000,0.7516860725793841,787.7004223646121,0.5078959949860704,1.378015806448894,10886.420867295072
1,890.1428612819832,0.6516299557949586,0.3198208230899162,665.4868575394688,36.03075894229084,12.27383849682513,105.28518413096792,8000,0.7770155127069875,899.7974938994158,0.5250104815587754,1.3917613978787846,8392.253812386147
2,846.398788362281,0.6916295078049097,0.4388795390020283,616.1873043840292,43.63338509864046,12.042468824494573,97.08883778638888,8000,0.811477106883556,856.4844436237855,0.5482953424888892,1.3865434611692786,12291.7686335275
3,819.7316968394073,0.6964387433843413,0.39185241875590004,446.6469212433943,31.1737656391334,11.61770048662768,81.95475202619004,8000,0.7775301628679991,830.924301684816,0.5253582181540535,1.3833625223418236,11796.269660639522
4,731.2037280884873,0.6478889799758292,0.3343597638569062,325.9085441931346,50.09607656303084,11.763931177850642,108.13958263424959,8000,0.6634292288357674,747.024636763611,0.44826299245659956,1.3728026113395884,8597.4769959387
5,731.1989040672405,0.6615548500185482,0.335292960045411,554.767802153004,65.86894967254943,13.90465659800775,102.10032640986852,8000,0.6367566641641469,747.530917511181,0.43024098930009924,1.3728020359431303,6564.0656911648075
6,711.6167224336399,0.836565552602477,0.4337368355886595,633.796318348208,61.813231848613086,10.218089472481616,97.36979687962635,8000,0.6756339905541141,727.9399378150059,0.4565094530771041,1.3704662098366411,7318.405587429457
7,873.235229154987,0.6501587563641805,0.36528093868707834,565.9794265818555,31.140847888168572,11.85177760800145,88.06207962831365,8000,0.8006620548969102,882.9166734337958,0.5409878749303447,1.3897446000222917,11353.05698503719
8,820.2230023486418,0.6085372175531767,0.3912758419806084,470.0298659052078,65.25041305072929,12.759633381009825,104.97372859277796,8000,0.7730658066897894,831.4718451678033,0.5223417612768847,1.383421126881532,11863.582696885398
9,841.6145155592092,0.7888064827886816,0.3334070449026342,349.3414452716285,48.09299315530213,9.468732488499928,91.00789785576396,8000,0.7773881813464126,852.2959023094855,0.5252622846935221,1.3859727767943333,11626.436917382367
10,704.1168988591605,0.892794935817735,0.2947385529529428,664.3096976549419,37.63565861661978,14.47373590532917,97.16697194503719,8000,0.5505232214439254,723.3087943137489,0.3719751496242739,1.3695716004947085,4546.839202492708
11,893.9819704323988,0.6993641443869364,0.39471185839888373,410.38333030135317,60.09647820861549,13.159857673417374,82.25940588355006,8000,0.8340460929749748,902.83300146965,0.5635446574155235,1.392219339778271,13294.882431246027
12,866.4885281600843,0.6355967109588757,0.3715647544282776,389.7148145971837,42.914942007081855,8.373067801092514,111.06986028673705,8000,0.8140138870318985,876.1246387103776,0.5500093831296612,1.3889398313168086,13316.495923668497
13,742.4678221356552,0.7711161976102592,0.3502685760849559,626.3906662438616,40.13273692547411,14.055746885565503,83.60148329672602,8000,0.6559291368818445,758.0174456806418,0.44319536275800303,1.3741462306322867,6463.790619526952
