fgd_id,alias,from_interview_sample,interview_participant_id
FGD001,Bayo-Akure,true,P009
FGD001,Ngozi-Enugu,true,P012
FGD001,Ahmed-Kano,true,P011
FGD001,Seyi-Lekki,true,P016
FGD001,Uche-PortHarcourt,true,P019
FGD001,Funmi-Ikeja,true,P003
FGD002,Aisha-Kano,true,P001
FGD002,Tunde-Ilorin,true,P013
FGD002,Ruth-Calabar,true,P018
FGD002,Halima-Minna,true,P008
FGD002,Hassan-Zaria,false,
FGD002,Janet-Bida,false,
FGD003,Chinedu-Onitsha,true,P002
FGD003,Emeka-Aba,true,P007
FGD003,Zainab-Maiduguri,true,P010
FGD003,Aminat-Osogbo,true,P020
FGD003,Chioma-Nnewi,false,
FGD003,Peter-Asaba,false,
FGD004,Musa-Kaduna,true,P004
FGD004,Titi-Ibadan,true,P005
FGD004,Ahmed-Kano,true,P011
FGD004,Ifeoma-Awka,true,P015
FGD004,Samuel-Warri,false,
FGD004,Isah-Yenagoa,false,
FGD005,Sade-VI,true,P006
FGD005,Ngozi-Enugu,true,P012
FGD005,Bolaji-Abuja,false,
FGD005,Maryam-Keffi,false,
FGD005,Okon-Gwagwalada,false,
