Temperature_C,Relative_Density,Sintering_Stress_MPa,Bulk_Viscosity_Pa_s,Shear_Viscosity_Pa_s,Heating_Rate_C_min,Hold_Time_min,Atmosphere
1200,0.55,0.82,4.5e+08,3.8e+08,5,0,Air
1200,0.60,1.15,3.2e+08,2.7e+08,5,30,Air
1200,0.65,1.48,2.1e+08,1.8e+08,5,60,Air
1200,0.70,1.82,1.3e+08,1.1e+08,5,120,Air
1200,0.75,2.18,7.8e+07,6.5e+07,5,180,Air
1200,0.80,2.55,4.2e+07,3.5e+07,5,240,Air
1200,0.85,2.95,2.1e+07,1.8e+07,5,300,Air
1200,0.90,3.38,9.8e+06,8.2e+06,5,360,Air
1250,0.55,1.05,2.8e+08,2.4e+08,5,0,Air
1250,0.60,1.45,2.0e+08,1.7e+08,5,30,Air
1250,0.65,1.88,1.3e+08,1.1e+08,5,60,Air
1250,0.70,2.32,8.2e+07,6.8e+07,5,120,Air
1250,0.75,2.78,4.8e+07,4.0e+07,5,180,Air
1250,0.80,3.26,2.6e+07,2.2e+07,5,240,Air
1250,0.85,3.77,1.3e+07,1.1e+07,5,300,Air
1250,0.90,4.32,6.1e+06,5.1e+06,5,360,Air
1300,0.55,1.32,1.8e+08,1.5e+08,5,0,Air
1300,0.60,1.81,1.3e+08,1.1e+08,5,30,Air
1300,0.65,2.34,8.5e+07,7.1e+07,5,60,Air
1300,0.70,2.89,5.3e+07,4.4e+07,5,120,Air
1300,0.75,3.47,3.1e+07,2.6e+07,5,180,Air
1300,0.80,4.08,1.7e+07,1.4e+07,5,240,Air
1300,0.85,4.73,8.5e+06,7.1e+06,5,300,Air
1300,0.90,5.42,4.0e+06,3.3e+06,5,360,Air
1350,0.55,1.65,1.1e+08,9.5e+07,5,0,Air
1350,0.60,2.25,8.2e+07,6.9e+07,5,30,Air
1350,0.65,2.89,5.5e+07,4.6e+07,5,60,Air
1350,0.70,3.57,3.4e+07,2.8e+07,5,120,Air
1350,0.75,4.28,2.0e+07,1.7e+07,5,180,Air
1350,0.80,5.03,1.1e+07,9.2e+06,5,240,Air
1350,0.85,5.82,5.5e+06,4.6e+06,5,300,Air
1350,0.90,6.66,2.6e+06,2.2e+06,5,360,Air
1400,0.55,2.05,7.2e+07,6.1e+07,5,0,Air
1400,0.60,2.78,5.3e+07,4.5e+07,5,30,Air
1400,0.65,3.56,3.6e+07,3.0e+07,5,60,Air
1400,0.70,4.38,2.2e+07,1.9e+07,5,120,Air
1400,0.75,5.25,1.3e+07,1.1e+07,5,180,Air
1400,0.80,6.17,7.2e+06,6.0e+06,5,240,Air
1400,0.85,7.14,3.6e+06,3.0e+06,5,300,Air
1400,0.90,8.17,1.7e+06,1.4e+06,5,360,Air
1450,0.55,2.52,4.8e+07,4.1e+07,5,0,Air
1450,0.60,3.40,3.6e+07,3.0e+07,5,30,Air
1450,0.65,4.34,2.4e+07,2.0e+07,5,60,Air
1450,0.70,5.33,1.5e+07,1.3e+07,5,120,Air
1450,0.75,6.38,8.9e+06,7.4e+06,5,180,Air
1450,0.80,7.49,4.9e+06,4.1e+06,5,240,Air
1450,0.85,8.66,2.5e+06,2.1e+06,5,300,Air
1450,0.90,9.90,1.2e+06,1.0e+06,5,360,Air
1500,0.55,3.08,3.2e+07,2.7e+07,5,0,Air
1500,0.60,4.14,2.4e+07,2.0e+07,5,30,Air
1500,0.65,5.27,1.6e+07,1.4e+07,5,60,Air
1500,0.70,6.46,1.0e+07,8.5e+06,5,120,Air
1500,0.75,7.72,6.0e+06,5.0e+06,5,180,Air
1500,0.80,9.05,3.3e+06,2.8e+06,5,240,Air
1500,0.85,10.45,1.7e+06,1.4e+06,5,300,Air
1500,0.90,11.93,8.0e+05,6.7e+05,5,360,Air
