Experiment_ID,Material,Temperature_C,Initial_Density,Final_Density,Time_min,Densification_Rate_per_min,Heating_Rate_C_min,Particle_Size_um,Green_Density_percent
EXP001,NiO-YSZ,1200,0.55,0.68,120,0.001083,5,0.8,55
EXP002,NiO-YSZ,1200,0.55,0.72,240,0.000708,5,0.8,55
EXP003,NiO-YSZ,1250,0.55,0.74,120,0.001583,5,0.8,55
EXP004,NiO-YSZ,1250,0.55,0.79,240,0.001000,5,0.8,55
EXP005,NiO-YSZ,1300,0.55,0.79,120,0.002000,5,0.8,55
EXP006,NiO-YSZ,1300,0.55,0.85,240,0.001250,5,0.8,55
EXP007,NiO-YSZ,1350,0.55,0.83,120,0.002333,5,0.8,55
EXP008,NiO-YSZ,1350,0.55,0.89,240,0.001417,5,0.8,55
EXP009,NiO-YSZ,1400,0.55,0.87,120,0.002667,5,0.8,55
EXP010,NiO-YSZ,1400,0.55,0.92,240,0.001542,5,0.8,55
EXP011,NiO-YSZ,1450,0.55,0.90,120,0.002917,5,0.8,55
EXP012,NiO-YSZ,1450,0.55,0.95,240,0.001667,5,0.8,55
EXP013,NiO-YSZ,1200,0.55,0.65,120,0.000833,3,1.2,55
EXP014,NiO-YSZ,1200,0.55,0.69,240,0.000583,3,1.2,55
EXP015,NiO-YSZ,1300,0.55,0.76,120,0.001750,3,1.2,55
EXP016,NiO-YSZ,1300,0.55,0.82,240,0.001125,3,1.2,55
EXP017,NiO-YSZ,1400,0.55,0.84,120,0.002417,3,1.2,55
EXP018,NiO-YSZ,1400,0.55,0.90,240,0.001458,3,1.2,55
EXP019,NiO-YSZ,1200,0.55,0.71,120,0.001333,10,0.5,55
EXP020,NiO-YSZ,1200,0.55,0.75,240,0.000833,10,0.5,55
EXP021,NiO-YSZ,1300,0.55,0.82,120,0.002250,10,0.5,55
EXP022,NiO-YSZ,1300,0.55,0.87,240,0.001333,10,0.5,55
EXP023,NiO-YSZ,1400,0.55,0.89,120,0.002833,10,0.5,55
EXP024,NiO-YSZ,1400,0.55,0.94,240,0.001625,10,0.5,55
EXP025,YSZ,1300,0.50,0.68,120,0.001500,5,0.6,50
EXP026,YSZ,1300,0.50,0.74,240,0.001000,5,0.6,50
EXP027,YSZ,1350,0.50,0.73,120,0.001917,5,0.6,50
EXP028,YSZ,1350,0.50,0.79,240,0.001208,5,0.6,50
EXP029,YSZ,1400,0.50,0.77,120,0.002250,5,0.6,50
EXP030,YSZ,1400,0.50,0.84,240,0.001417,5,0.6,50
EXP031,YSZ,1450,0.50,0.81,120,0.002583,5,0.6,50
EXP032,YSZ,1450,0.50,0.88,240,0.001583,5,0.6,50
EXP033,YSZ,1500,0.50,0.85,120,0.002917,5,0.6,50
EXP034,YSZ,1500,0.50,0.92,240,0.001750,5,0.6,50
EXP035,GDC,1250,0.52,0.70,120,0.001500,5,0.7,52
EXP036,GDC,1250,0.52,0.76,240,0.001000,5,0.7,52
EXP037,GDC,1300,0.52,0.75,120,0.001917,5,0.7,52
EXP038,GDC,1300,0.52,0.82,240,0.001250,5,0.7,52
EXP039,GDC,1350,0.52,0.80,120,0.002333,5,0.7,52
EXP040,GDC,1350,0.52,0.87,240,0.001458,5,0.7,52
EXP041,GDC,1400,0.52,0.84,120,0.002667,5,0.7,52
EXP042,GDC,1400,0.52,0.91,240,0.001625,5,0.7,52
EXP043,SDC,1250,0.51,0.69,120,0.001500,5,0.65,51
EXP044,SDC,1250,0.51,0.75,240,0.001000,5,0.65,51
EXP045,SDC,1300,0.51,0.74,120,0.001917,5,0.65,51
EXP046,SDC,1300,0.51,0.81,240,0.001250,5,0.65,51
EXP047,SDC,1350,0.51,0.79,120,0.002333,5,0.65,51
EXP048,SDC,1350,0.51,0.86,240,0.001458,5,0.65,51
EXP049,SDC,1400,0.51,0.83,120,0.002667,5,0.65,51
EXP050,SDC,1400,0.51,0.90,240,0.001625,5,0.65,51
