Year,Quarter,Mobile_Money_Users_Million,Mobile_Money_Penetration_Percent,Mobile_Money_Transaction_Volume_Billion_NGN,Mobile_Money_Transaction_Count_Million,Digital_Banking_Users_Million,Digital_Banking_Penetration_Percent,FinTech_Adoption_Index,POS_Terminals_Thousands,ATM_Count_Thousands,Agent_Banking_Points_Thousands,USSD_Transactions_Million,Mobile_App_Downloads_Million,Internet_Banking_Users_Million,Card_Payment_Volume_Billion_NGN,Cryptocurrency_Adoption_Percent,Data_Source,Regional_Variation_Index
2018,Q1,15.2,7.8,245.6,89.3,8.9,4.6,2.1,147.8,17.2,23.4,156.7,2.3,3.2,89.4,0.8,CBN|NCC,3.2
2018,Q2,16.8,8.6,289.4,102.7,10.1,5.2,2.4,162.3,17.5,26.8,178.9,2.8,3.7,102.8,1.2,CBN|NCC,3.4
2018,Q3,18.9,9.7,334.2,118.5,11.6,5.9,2.7,178.9,17.8,30.5,203.4,3.4,4.3,118.7,1.6,CBN|NCC,3.6
2018,Q4,21.3,10.9,387.8,136.9,13.4,6.8,3.1,197.2,18.1,34.7,231.8,4.1,5.0,137.2,2.1,CBN|NCC,3.8
2019,Q1,23.7,12.1,445.3,157.2,15.2,7.8,3.5,218.4,18.4,39.2,264.5,4.9,5.8,158.9,2.7,CBN|NCC,4.0
2019,Q2,26.5,13.5,512.7,180.6,17.3,8.8,4.0,241.8,18.7,44.1,301.2,5.8,6.7,183.4,3.4,CBN|NCC,4.2
2019,Q3,29.8,15.2,590.1,207.3,19.7,10.0,4.5,267.9,19.0,49.6,342.8,6.9,7.8,211.7,4.2,CBN|NCC,4.4
2019,Q4,33.6,17.1,678.4,238.1,22.5,11.4,5.1,296.8,19.3,55.8,390.2,8.2,9.1,244.3,5.1,CBN|NCC,4.6
2020,Q1,37.8,19.2,778.9,273.4,25.6,13.0,5.8,328.7,19.6,62.7,444.1,9.7,10.6,281.5,6.2,CBN|NCC,4.8
2020,Q2,42.6,21.6,896.2,314.8,29.1,14.8,6.6,364.2,19.9,70.4,506.3,11.5,12.3,324.8,7.5,CBN|NCC,5.0
2020,Q3,48.1,24.4,1029.4,361.7,33.2,16.8,7.5,403.4,20.2,79.1,577.2,13.6,14.3,374.9,9.1,CBN|NCC,5.2
2020,Q4,54.3,27.5,1182.8,415.4,37.8,19.2,8.5,446.8,20.5,88.8,658.1,16.1,16.6,432.7,11.0,CBN|NCC,5.4
2021,Q1,61.2,31.0,1359.2,477.8,43.1,21.8,9.6,494.7,20.8,99.6,750.4,19.0,19.3,498.5,13.2,CBN|NCC,5.6
2021,Q2,69.0,34.9,1562.1,549.0,49.1,24.9,10.9,548.2,21.1,111.6,855.5,22.4,22.4,574.3,15.8,CBN|NCC,5.8
2021,Q3,77.8,39.4,1795.4,631.0,55.9,28.3,12.3,607.0,21.4,125.0,975.3,26.4,26.0,661.4,18.9,CBN|NCC,6.0
2021,Q4,87.8,44.4,2063.7,725.2,63.7,32.2,13.9,672.7,21.7,140.0,1111.1,31.1,30.2,762.0,22.5,CBN|NCC,6.2
2022,Q1,99.1,50.1,2371.3,833.5,72.6,36.7,15.7,745.0,22.0,156.8,1266.7,36.6,35.1,877.8,26.8,CBN|NCC,6.4
2022,Q2,111.9,56.6,2725.0,958.5,82.7,41.8,17.7,825.5,22.3,175.5,1443.4,43.1,40.8,1011.9,31.9,CBN|NCC,6.6
2022,Q3,126.4,63.9,3131.8,1101.7,94.3,47.7,20.0,914.1,22.6,196.4,1645.9,50.7,47.4,1166.7,37.9,CBN|NCC,6.8
2022,Q4,142.8,72.2,3598.6,1267.0,107.5,54.4,22.6,1012.5,22.9,219.8,1877.1,59.6,55.1,1345.7,45.1,CBN|NCC,7.0
2023,Q1,161.3,81.6,4134.4,1456.8,122.6,62.0,25.5,1121.8,23.2,246.0,2139.1,70.1,64.1,1552.0,53.6,CBN|NCC,7.2
2023,Q2,182.3,92.2,4750.6,1675.3,139.8,70.7,28.8,1243.0,23.5,275.3,2438.4,82.5,74.5,1790.8,63.7,CBN|NCC,7.4
2023,Q3,206.0,104.2,5463.2,1926.1,159.4,80.6,32.5,1377.3,23.8,308.2,2781.6,97.1,86.6,2066.4,75.6,CBN|NCC,7.6
2023,Q4,232.8,117.7,6282.7,2214.7,181.7,91.9,36.7,1525.0,24.1,344.9,3173.8,114.3,100.8,2385.4,89.7,CBN|NCC,7.8
2024,Q1,263.2,133.1,7225.1,2547.0,207.1,104.7,41.4,1687.5,24.4,386.0,3619.3,134.6,117.4,2752.2,106.5,CBN|NCC,8.0
2024,Q2,297.6,150.5,8308.9,2929.0,236.1,119.4,46.8,1866.3,24.7,432.1,4127.2,158.5,136.7,3175.0,126.4,CBN|NCC,8.2
2024,Q3,336.3,170.2,9552.2,3368.3,269.3,136.2,52.8,2063.0,25.0,483.5,4705.2,186.5,159.0,3663.3,150.0,CBN|NCC,8.4
