Manufacturer,System_Size_kW,Operational_Mode,Cold_Start_Time_hours,Warm_Start_Time_hours,Hot_Start_Time_minutes,Ramp_Up_Rate_pct_per_min,Ramp_Down_Rate_pct_per_min,Minimum_Load_pct,Optimal_Load_pct,Load_Change_Response_Time_sec,Cycling_Capability,Starts_Per_Year_Recommended,Mode_Suitability_Rating,Mode_Efficiency_Factor,Continuous_Operation_Capability,Black_Start_Capable,Grid_Forming_Capable,Island_Mode_Operation
Bloom Energy,100,Base Load,41.14,4.43,24.3,5.47,7.82,20,100,103.9,Limited,10,Excellent,1.0,Yes,No,Limited,Limited
Bloom Energy,100,Load Following,41.14,4.43,24.3,5.47,7.82,20,75,103.9,Limited,35,Moderate,0.96,Yes,No,Limited,Limited
Bloom Energy,100,Peak Shaving,41.14,4.43,24.3,5.47,7.82,20,90,103.9,Limited,12,Good,0.98,Yes,No,Limited,Limited
Bloom Energy,100,Backup Power,41.14,4.43,24.3,5.47,7.82,20,80,103.9,Limited,20,Moderate,0.95,Yes,No,Limited,Limited
Bloom Energy,100,CHP Mode,41.14,4.43,24.3,5.47,7.82,20,85,103.9,Limited,12,Excellent,1.02,Yes,No,Limited,Limited
Bloom Energy,200,Base Load,38.49,4.75,18.4,4.15,5.82,20,100,63.2,Limited,14,Excellent,1.0,Yes,No,Limited,Limited
Bloom Energy,200,Load Following,38.49,4.75,18.4,4.15,5.82,20,75,63.2,Limited,26,Moderate,0.96,Yes,No,Limited,Limited
Bloom Energy,200,Peak Shaving,38.49,4.75,18.4,4.15,5.82,20,90,63.2,Limited,40,Good,0.98,Yes,No,Limited,Limited
Bloom Energy,200,Backup Power,38.49,4.75,18.4,4.15,5.82,20,80,63.2,Limited,12,Moderate,0.95,Yes,No,Limited,Limited
Bloom Energy,200,CHP Mode,38.49,4.75,18.4,4.15,5.82,20,85,63.2,Limited,13,Excellent,1.02,Yes,No,Limited,Limited
Bloom Energy,250,Base Load,32.51,5.77,35.1,5.04,5.45,20,100,83.4,Limited,10,Excellent,1.0,Yes,No,Limited,Limited
Bloom Energy,250,Load Following,32.51,5.77,35.1,5.04,5.45,20,75,83.4,Limited,35,Moderate,0.96,Yes,No,Limited,Limited
Bloom Energy,250,Peak Shaving,32.51,5.77,35.1,5.04,5.45,20,90,83.4,Limited,46,Good,0.98,Yes,No,Limited,Limited
Bloom Energy,250,Backup Power,32.51,5.77,35.1,5.04,5.45,20,80,83.4,Limited,34,Limited,0.95,Yes,No,Limited,Limited
Bloom Energy,250,CHP Mode,32.51,5.77,35.1,5.04,5.45,20,85,83.4,Limited,44,Excellent,1.02,Yes,No,Limited,Limited
Bloom Energy,300,Base Load,41.38,2.48,42.1,3.2,6.14,20,100,42.8,Limited,10,Excellent,1.0,Yes,No,Limited,Yes
Bloom Energy,300,Load Following,41.38,2.48,42.1,3.2,6.14,20,75,42.8,Limited,26,Moderate,0.96,Yes,No,Limited,Yes
Bloom Energy,300,Peak Shaving,41.38,2.48,42.1,3.2,6.14,20,90,42.8,Limited,21,Good,0.98,Yes,No,Limited,Yes
Bloom Energy,300,Backup Power,41.38,2.48,42.1,3.2,6.14,20,80,42.8,Limited,29,Moderate,0.95,Yes,No,Limited,Yes
Bloom Energy,300,CHP Mode,41.38,2.48,42.1,3.2,6.14,20,85,42.8,Limited,33,Excellent,1.02,Yes,No,Limited,Yes
Bloom Energy,500,Base Load,25.05,2.49,31.8,4.03,6.92,20,100,88.7,Limited,43,Excellent,1.0,Yes,Yes (with battery),Yes,Yes
