code_id,parent,label
Drivers/Market_Pressure,Drivers,Market_Pressure
Drivers/Customer_Demand,Drivers,Customer_Demand
Drivers/Competition,Drivers,Competition
Drivers/Efficiency_Gains,Drivers,Efficiency_Gains
Barriers/Power_Outage,Barriers,Power_Outage
Barriers/Broadband_Cost,Barriers,Broadband_Cost
Barriers/Internet_Reliability,Barriers,Internet_Reliability
Barriers/FX_Volatility,Barriers,FX_Volatility
Barriers/Policy_Uncertainty,Barriers,Policy_Uncertainty
Barriers/Skills_Gap,Barriers,Skills_Gap
Barriers/Financing,Barriers,Financing
Barriers/Cybersecurity_Trust,Barriers,Cybersecurity_Trust
Capabilities/Digital_Skills,Capabilities,Digital_Skills
Capabilities/Data_Analytics,Capabilities,Data_Analytics
Capabilities/IT_Support,Capabilities,IT_Support
Strategies/Pilot_Scale,Strategies,Pilot_Scale
Strategies/Training,Strategies,Training
Strategies/Partnerships,Strategies,Partnerships
Strategies/Alternative_Power,Strategies,Alternative_Power
Strategies/Vendor_Management,Strategies,Vendor_Management
Strategies/Financing_Options,Strategies,Financing_Options
Outcomes/Sales_Increase,Outcomes,Sales_Increase
Outcomes/Cost_Reduction,Outcomes,Cost_Reduction
Outcomes/Customer_Retention,Outcomes,Customer_Retention
Outcomes/Operational_Efficiency,Outcomes,Operational_Efficiency
Outcomes/Stockout_Reduction,Outcomes,Stockout_Reduction
Outcomes/Faster_Fulfillment,Outcomes,Faster_Fulfillment
Outcomes/Cashflow_Visibility,Outcomes,Cashflow_Visibility
Policy_Environment/Tax,Policy_Environment,Tax
Policy_Environment/Licensing,Policy_Environment,Licensing
Policy_Environment/Cashless,Policy_Environment,Cashless
Policy_Environment/Data_Privacy,Policy_Environment,Data_Privacy
Policy_Environment/Import_Duty,Policy_Environment,Import_Duty
Policy_Environment/Grants_Programs,Policy_Environment,Grants_Programs
