sample_id,thermal_cycle_min_temp_C,thermal_cycle_max_temp_C,thermal_cycle_rate_C_per_min,thermal_cycle_dwell_time_min,thermal_stress_MPa,cycles_to_failure,resistance_degradation_percent_per_1000cycles,strength_degradation_percent_per_1000cycles,primary_failure_mode,crack_propagation_rate_um_per_cycle,permanent_deformation_um,MTBF_hours,reliability_10years_percent,corrosion_resistance_score,vibration_resistance_score,shock_resistance_score,quality_class,overall_performance_score
WS_00000,-51.50168850469706,117.45536222191078,9.57760025215891,24.581035163362003,0.0,255,7.240861494512219,2.1722584483536655,1,0.0001,0.0,3433.232721981527,8.295475962077889e-10,8.604703742148429,4.40341908128223,4.562475206061257,Poor,26.275000000207385
WS_00001,-40.140169044237844,133.839463263349,9.619067378108031,14.869346233289296,0.10090818673840034,623,26.909796687634987,8.072939006290495,3,0.0001,100.0,5280.042425011592,6.233294221777258e-06,4.684682880468086,2.3655744563194006,4.061950271557343,Poor,26.20520487068857
WS_00002,-44.79027245217401,122.6260188691113,11.064283028846376,28.984587407399037,0.16239380258164673,649,35.471890887396285,10.641567266218885,1,0.0001,100.0,2373.6379091457825,9.37991199457837e-15,8.090937653936972,4.327136662182947,4.706961246780886,Poor,17.77310911260372
WS_00003,-42.933636324619286,146.72145924940997,10.157575711644771,15.999596798299056,0.12517236307885926,1871,23.164076729306213,6.949223018791864,1,0.0001,100.0,1516.221151252781,8.101096292106341e-24,6.266148162437274,5.389641339206418,4.283072303989585,Poor,34.355000000000004
WS_00004,-43.8511847664183,93.97083276190143,13.625311138390803,25.323824049042962,0.04272482543377913,1001,11.463607952266678,3.439082385680003,1,0.0001,100.0,2123.6713960591833,1.2180024009226981e-16,7.693495977245364,5.655947093030311,4.605478916817053,Acceptable,30.005
WS_00005,-53.15377304409709,110.20866197373503,19.234374594146985,19.04690360872257,0.0,1034,7.507456207538571,2.252236862261571,5,0.0001,0.0,1632.976258810123,5.041287945195039e-22,8.481485706203825,5.556731133665672,4.829076191853536,Acceptable,30.17
WS_00006,-49.69202473126151,138.71980519724534,10.684946704042943,22.04102702060799,0.12435180775281449,2397,26.68743403381229,8.006230210143688,3,0.0001,100.0,3543.9823923488125,1.8413154959695178e-09,7.471661740893603,5.109636753297382,4.129479276071083,Poor,35.29756596664804
WS_00007,-44.05814427567296,113.88029993322768,7.113381725999607,15.803871915062844,0.1532002908826336,968,26.100947013950286,7.830284104185085,1,0.0001,100.0,4210.463680694916,9.212317373898307e-08,6.756523346024821,6.219017650739988,5.03119720957217,Poor,28.739053009080507
WS_00008,-53.98495449223252,137.76182458235328,14.854941573658508,20.921213049869607,0.1265528741892266,828,27.978761280183626,8.393628384055088,1,0.0001,100.0,2039.2868145513994,2.2098458906879235e-17,8.248333776342678,4.863126413439826,4.261770045239762,Poor,26.161238719816374
WS_00009,-53.69600920894372,98.71768106489061,11.116318273009247,17.310380053358482,0.0,496,9.337201482730395,2.8011604448191183,4,0.0001,0.0,2954.291721908975,1.325552007970276e-11,3.784714116574886,5.146123062302618,3.0165281193358124,Poor,27.480000000003315
WS_00010,-44.53207173358237,136.2487853896576,19.41178409123578,26.90631626561678,0.0,1391,7.202608138464842,2.1607824415394523,1,0.0001,0.0,1312.8663261126194,1.0520426570147392e-27,4.983720502472241,5.391044924840845,4.395298054983399,Acceptable,31.955
WS_00011,-50.14387263080091,142.7711231590987,10.59433728400156,16.345538513186277,0.11189069755814174,1328,20.482592232064352,6.144777669619305,1,0.0001,100.0,5192.900686566483,4.718524760588803e-06,8.490275118406823,5.088955212925409,4.400294462964119,Poor,31.64000117963119
WS_00012,-40.87839379911271,98.17945120977673,8.121920202771081,23.473978228296073,0.13488610965862272,325,33.62770592934224,10.088311778802671,3,0.0001,100.0,2999.2738195841584,2.0679056701159806e-11,6.6464562222093955,5.096278376033852,4.477417022707858,Poor,17.997294070662928
WS_00013,-54.20089200113236,132.3177806426803,19.15311222117592,26.02571782243259,0.12310232394491631,1439,29.81289191535546,8.943867574606639,4,0.0001,100.0,1957.4152557001216,3.664920188143786e-18,4.918841525619846,4.813782268678593,3.962079162212278,Poor,27.38210808464454
WS_00014,-53.20658734903067,120.60788302232024,11.344309580257027,19.99013376328807,0.0,4513,7.080382293605609,2.124114688081683,1,0.0001,0.0,3007.2300010985864,2.234034247799935e-11,4.656519662863632,4.7863282963214555,4.588033463975683,Acceptable,47.56500000000558
