sample_id,collection_date,anode_material,cathode_material,anode_thickness_um,cathode_thickness_um,anode_surface_roughness_um,cathode_surface_roughness_um,anode_coating,cathode_coating,welding_technique,power_W,pulse_energy_J,amplitude_um,clamping_force_N,pressure_MPa,weld_time_ms,welding_speed_mm_s,pulse_frequency_Hz,ultrasonic_frequency_kHz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,shielding_gas,cleaning_method
WS_00000,2024-01-01,Copper,Copper,218.13836831001433,274.85160967807406,0.6690465832925404,2.2168759099682744,Nickel,None,Laser,961.4359601316322,28.649782713608754,,416.7740677367772,8.532570430983055,92.45486239355967,174.43648117407824,188.2829182779147,,33.158867660446305,16.92269144444444,23.185234683011615,Argon,Chemical
WS_00001,2024-01-01,Steel_304,Aluminum,199.81044330413147,386.03604763066744,1.3404372738365085,0.5160102350215172,None,Oxide,Resistance_Spot,7808.601958515626,,,1535.0731187004317,36.24536612441902,435.67950145272243,,,,65.47723467559932,22.64369984813406,76.46802269843317,None,Plasma
WS_00002,2024-01-01,Aluminum,Nickel,129.269260626287,303.2000512953499,1.9215655374132654,0.49167921985563884,Tin,Nickel,Laser,589.3398450313705,36.26247766531949,,1677.5785664973805,86.98459130170744,41.886513854545534,104.11353562028977,38.80192770905913,,137.44186612671422,26.48297137754332,73.43746714391538,Helium,Mechanical
WS_00003,2024-01-01,Aluminum,Copper,323.2700015456696,87.48616240030837,0.5414752942976754,0.551366952511481,None,None,Laser,633.3444482177824,9.612574851581874,,541.8591201798854,17.852259139261136,40.9258223932112,114.18644351354656,150.08349259528757,,89.17250270954793,18.228603801841697,24.23404926612997,Helium,Mechanical
WS_00004,2024-01-01,Copper,Nickel,264.48087222888296,133.51110655259993,2.35408911316971,1.0695026431649428,Nickel,None,Laser,247.33816742741647,42.75480783234052,,1308.183957390302,43.38425470757658,13.629955109748039,128.81854367735656,141.99160768163605,,36.50170114651653,18.47418211150815,20.86733538688993,None,Chemical
WS_00005,2024-01-01,Copper,Copper,439.56544654580165,148.69768281391362,0.9377465986252276,0.2455235778642619,Nickel,None,Laser,1123.1721918630901,4.622251719985001,,818.4517124374854,83.52879018715895,11.788042496403676,130.6976945830536,185.14813937580317,,28.92821040962481,26.72466896420456,27.16433515868401,Argon,Plasma
WS_00006,2024-01-01,Copper,Aluminum,64.44931121692622,166.0389141401802,0.6141533093732503,0.7449778569122342,Nickel,None,Ultrasonic,2255.4674892074436,,51.64280900438255,211.0758965531832,8.539265052535908,673.8140978993591,,,20.0,142.1948110080462,26.1622943926492,51.7556477676698,None,Mechanical
WS_00007,2024-01-01,Nickel,Aluminum,339.7405673998069,304.4315263777269,1.4606439353630427,2.020913515498001,Tin,Nickel,Resistance_Spot,5971.902154423202,,,1736.5711253839256,121.02127099964808,126.99469542534251,,,,116.75681030568758,30.064695384464496,42.03744441206742,None,Mechanical
WS_00008,2024-01-01,Aluminum,Copper,393.3269953302025,276.78460092142706,0.7999330525507304,1.6343079055328382,None,Nickel,Ultrasonic,1120.9663950223203,,36.2566133560807,1659.4145138273584,82.9919408948866,285.9411960855743,,,60.0,96.95388805662137,20.26879626931347,52.92178973598646,None,Plasma
WS_00009,2024-01-01,Aluminum,Aluminum,391.7689561347382,141.42201726389402,0.9599555112752172,0.7752673624723398,Oxide,Oxide,Laser,1714.4060158985378,2.737680010861569,,704.0907654662951,14.831041603653278,32.39521916859741,21.102248205487967,175.74959057410638,,26.392938843749132,26.26771098328524,43.24272453119571,Helium,Plasma
WS_00010,2024-01-02,Copper,Copper,448.7332851929863,80.39967955505918,0.8169812598820805,0.805189423470491,Tin,None,Laser,299.85833214469574,36.174888739378005,,1109.8598169399665,37.23167668968001,53.1237091341356,110.21859997578873,166.24596682304505,,106.65653441482378,32.78341417335656,57.18442968378344,None,Plasma
