Construct,Number_of_Items,Cronbach_Alpha,Mean,SD,Interpretation
Attitude,4,0.771,5.36,0.86,Acceptable
Subjective Norm,4,0.804,4.32,0.94,Good
Perceived Behavioral Control,5,0.855,4.75,0.96,Good
Perceived Severity,4,0.817,5.69,0.9,Good
Perceived Vulnerability,4,0.884,4.84,1.18,Good
Self-Efficacy,4,0.826,3.96,1.02,Good
Response Efficacy,4,0.787,5.42,0.85,Acceptable
Past Behavior,3,0.865,4.3,1.3,Good
Intention,4,0.582,5.22,0.64,Poor
Trust,3,0.816,5.14,1.06,Good
Perceived Cost,3,0.806,3.52,1.08,Good
Threat Awareness,3,0.747,5.2,0.95,Acceptable
Descriptive Norm,3,0.79,4.49,1.06,Acceptable
T2 Behavior,5,0.802,3.54,0.85,Good
