SOFC_Application,Fuel_Type,CO2_Emissions_kg_per_MWh,NOx_Emissions_g_per_MWh,SOx_Emissions_g_per_MWh,PM_Emissions_g_per_MWh,Water_Consumption_L_per_MWh,Land_Use_m2_per_MW,Noise_Level_dB,Thermal_Pollution_kW_per_MW,Waste_Heat_Recovery_%,Lifecycle_CO2_kg_per_MWh,Recyclability_%,Environmental_Impact_Score,Nigerian_Environmental_Compliance,Carbon_Credit_Potential_tCO2_per_year,Ecosystem_Impact_Rating
Residential_SOFC_NG,Natural_Gas,380,15,2,0.5,120,25,45,350,85,420,75,7.2,Good,2.8,Low
Commercial_SOFC_NG,Natural_Gas,365,12,1.8,0.4,110,20,48,330,88,405,78,7.5,Good,8.5,Low
Industrial_SOFC_NG,Natural_Gas,350,10,1.5,0.3,100,18,52,310,90,390,80,7.8,Good,42.5,Low
Utility_SOFC_NG,Natural_Gas,340,8,1.2,0.2,95,15,55,295,92,380,82,8.1,Good,425,Medium
SOFC_Biogas,Biogas,180,8,0.5,0.2,85,12,42,280,88,220,85,9.2,Excellent,-15.5,Very_Low
SOFC_Flare_Gas,Flare_Gas,0,5,0.8,0.1,75,10,48,260,90,-50,80,9.8,Excellent,-85.2,Very_Low
SOFC_LPG,LPG,420,18,0.2,0.6,130,28,46,370,82,465,72,6.8,Fair,1.2,Low
SOFC_Hydrogen,Hydrogen,0,2,0,0,200,35,44,250,85,45,90,9.5,Excellent,-25.8,Very_Low
SOFC_Syngas_Coal,Syngas_Coal,850,45,25,8,280,60,58,520,75,920,65,4.2,Poor,0,High
SOFC_Producer_Gas,Producer_Gas,650,35,15,12,220,45,54,480,78,715,70,5.5,Fair,0,Medium
Micro_CHP_SOFC_NG,Natural_Gas,320,12,1.5,0.4,95,22,42,290,95,365,76,8.0,Good,1.8,Low
Backup_SOFC_NG,Natural_Gas,385,16,2.2,0.5,125,30,50,360,80,430,74,7.0,Good,1.5,Low
Mobile_SOFC_LPG,LPG,450,22,0.3,0.8,140,5,52,390,75,495,70,6.2,Fair,0.2,Low
Marine_SOFC_NG,Natural_Gas,370,14,1.8,0.4,115,8,48,340,85,415,77,7.3,Good,0.8,Low
Grid_SOFC_NG,Natural_Gas,345,9,1.3,0.25,98,16,54,305,91,385,81,7.9,Good,125,Low
Distributed_SOFC_Biogas,Biogas,165,7,0.4,0.15,80,14,41,270,89,205,86,9.3,Excellent,-2.5,Very_Low
Hybrid_SOFC_Solar_NG,Natural_Gas,280,8,1.0,0.2,85,25,46,250,88,325,83,8.5,Very_Good,5.2,Very_Low
SOEC_SOFC_Renewable,Hydrogen,25,1,0,0,180,40,47,200,90,85,92,9.0,Excellent,-12.5,Very_Low
Rural_SOFC_Biogas,Biogas,150,6,0.3,0.1,70,10,38,260,90,190,87,9.4,Excellent,-1.8,Very_Low
Off_Grid_SOFC_NG,Natural_Gas,390,17,2.5,0.6,135,35,49,375,78,440,73,6.9,Fair,1.2,Low
