welding_technique,anode_material,cathode_material,surface_finish,power_W,amplitude_um,force_N,time_ms,frequency_Hz,speed_mm_s,tab_thickness_um,preheat_temp_C,energy_density_J_mm2,pred_thermal_cycles_to_failure,pred_contact_resistance_uOhm,pred_tensile_shear_strength_N,pred_IMC_thickness_um,pred_overall_quality_score,desirability
,Cu,Al-Alloy-1050,Ni-Plated,2735.716333242537,23.29941854660204,1217.4053270048682,798.4198247740514,20000.0,0.0,150,40,1456.1667702793447,2528.6693480663002,41.581510458590316,856.5450305955898,1.9456187448064828,67.93782360659637,0.7427162975179682
,Ni-plated-Cu,Al-Alloy-1050,Ni-Plated,2972.050069068936,20.821059772545535,1390.0748007293025,788.2817609747781,20000.0,0.0,150,40,1561.8752414339144,2474.8962416629483,39.80625178950371,870.5209592400023,1.9297765358405394,67.55576418771848,0.742672224375682
,Cu,Al-Alloy-1050,Ni-Plated,2819.9165975829155,22.62141887967665,1261.057586102475,774.929324362234,20000.0,0.0,150,40,1456.824042481852,2519.7836813996337,41.03234622717801,844.7687279760029,1.9185541935674977,67.81610731813554,0.7422465821853884
,Cu,Al-Alloy-1050,Ni-Plated,2891.142779679681,21.35655808103269,1264.6884374173287,795.0473044159816,20000.0,0.0,150,40,1532.3968491107057,2503.3292349710623,40.837171520030005,848.7733986080887,1.9459291830937524,67.96133504899716,0.7414248859695225
,Cu,Al-Alloy-1050,Ni-Plated,2611.459520464018,21.475057406187585,1115.7014068349492,767.1400415018015,20000.0,0.0,150,40,1335.5701099393611,2555.9460050300263,43.87857586102213,771.0044362721436,1.8566843377540208,68.13041185395048,0.7309455090454521
,Cu,Al,Ni-Plated,2103.958985089297,21.31314763622157,1480.8635735729472,579.7293243155102,20000.0,0.0,150,40,813.15114720891,2482.985309305758,40.46346638568682,683.1747093287122,1.6915912322814932,68.7647744709791,0.7251330484997833
,Cu,Al,Ni-Plated,1846.6006237543704,20.657640398921224,1480.2194512849685,582.4254765174474,20000.0,0.0,150,40,717.0048321517031,2503.3068331152817,40.63869604056047,665.1319956760938,1.549156339798549,68.25564631452531,0.7244835126692469
,Cu,Al-Alloy-1050,Ni-Plated,2854.011238392073,20.322593476993248,974.5457000626521,530.8264358641648,20000.0,0.0,150,40,1009.9897423946235,2536.220028448788,43.13968124136652,673.1692253645291,1.7700329120847875,67.85348468161445,0.7209233743889555
,Cu,Al-Alloy-1050,Cleaned,2929.0735463060164,27.10939809084962,1435.9817696579576,775.5925696299223,20000.0,0.0,150,40,1514.511785609675,2568.198251886545,53.07123143259622,906.7430643989765,1.9016641564839505,66.03789850966672,0.7095472625481498
,Cu,Al-Alloy-1050,Cleaned,2771.8627284795275,22.471973203409732,1429.55313608814,799.9164924446841,20000.0,0.0,150,40,1478.1724742023302,2583.834588843067,53.63181598794491,892.9452279626375,1.9570900397656745,65.60166940640089,0.7075827687303422
