min_temp_C,max_temp_C,cycle_count,thermal_fatigue_life_cycles,resistance_drift_percent,mechanical_degradation_percent,crack_propagation_rate_mm_cycle,thermal_shock_resistance_J_m2,long_term_reliability_score,temperature_range_C
-25.737015200673923,148.52883172913295,6974,38941.70605968916,2.470949711621398,11.016889341096798,9.871866649555588e-08,10.0,38.31388182850605,174.26584692980686
-35.061411506018324,149.8463777963778,5384,60879.33519624497,2.470963896329586,6.937793020734026,1.4613660941536994e-07,93.60415024427459,42.666489678679454,184.9077893023961
-26.850419979098575,84.5589006068186,8376,178812.32843120114,1.8403111534487233,5.608441774320318,1.2550966594502136e-07,2669.5945353502925,61.12243663662219,111.40932058591717
-21.68506230566518,106.437960144413,1675,16945.502433509053,1.991328885943568,1.0148310430193566,2.2525545820974225e-07,10.0,19.558532419675604,128.12302245007817
-27.840511219994667,121.51968885185448,1355,2270715.117487991,0.8474636778679124,1.6297952702719594,1.8383860003222073e-08,61146.29672685251,100.0,149.36020007184914
-31.64374177719086,113.7394618149599,1617,44412.981676111856,1.9075909027069429,1.5381547995318565,5.7897783875343303e-08,10.0,39.46028803219954,145.38320359215075
-38.69201697378349,94.69174588280931,1900,1784960.939431212,0.5029573722424441,1.488500640024838,5.900267148571685e-08,8781.17487138945,93.63755912751334,133.3837628565928
-38.76518032935224,145.84760373149632,1804,1934614.464144676,0.7879580111306591,2.2708365274706668,2.536614566310106e-08,4667.443420418658,94.79690382316193,184.61278406084855
-25.97769406230458,134.92311752162942,2490,421077.80393302644,1.2081328396952022,2.872600303554025,5.3350323622265176e-08,347.22237689154366,81.58298263404525,160.900811583934
-37.00615795681176,97.21002931664896,4278,90335.95287490524,1.486639379977597,4.926310907460824,9.800658335460428e-08,14.001240362874304,48.99788471893923,134.21618727346072
-33.94609417544525,120.38039029627453,9768,20811.224552256484,2.03351973761638,9.208479528871832,1.304790673240213e-07,10.0,18.10578369283747,154.32648447171977
-30.549482374485304,135.65668436571892,4406,11553.735865290077,3.1177930744087123,2.8829161548839197,1.8751342402902776e-07,10.0,10.280689193420224,166.20616674020422
