participant_id,age,gender,education,income,tech_savviness,banking_frequency,previous_incidents,t1_attitudes_1,t1_attitudes_2,t1_attitudes_3,t1_attitudes_mean,t1_subjective_norms_1,t1_subjective_norms_2,t1_subjective_norms_3,t1_subjective_norms_mean,t1_pbc_1,t1_pbc_2,t1_pbc_3,t1_pbc_mean,t1_intentions_1,t1_intentions_2,t1_intentions_3,t1_intentions_mean,srb_1_check_statements,srb_2_strong_passwords,srb_3_two_factor_auth,srb_4_logout_properly,srb_5_verify_alerts,srb_total_mean,obj_scenario_1_phishing_sms,obj_score_1_phishing_sms,obj_scenario_2_fake_email,obj_score_2_fake_email,obj_scenario_3_public_wifi,obj_score_3_public_wifi,obj_scenario_4_password_sharing,obj_score_4_password_sharing,obj_scenario_5_suspicious_charge,obj_score_5_suspicious_charge,objective_total_score,predicted_behavior,intention_behavior_gap,gap_category,risk_perception,bank_trust,security_self_efficacy,months_since_training,primary_device,t1_date,t2_date,t1_response_time_minutes,t2_response_time_minutes
P0001,36,Male,7,3,3,3,0,5,5,5,5.0,7,7,7,7.0,5,5,5,5.0,5,5,5,5.0,6,5,4,6,6,5.4,report_as_spam,2.0,verify_with_bank,2.0,ask_for_password,1.0,create_joint_account,2.0,wait_and_see,0.0,8,4.8632043258257545,0.5367956741742459,Over-performer,5,7,6,4,Tablet,2024-10-19,2024-11-23,5,7
P0002,43,Female,4,3,3,4,1,7,7,7,7.0,4,3,3,3.3333333333333335,5,4,4,4.333333333333333,6,6,6,6.0,7,6,6,7,5,6.2,click_immediately,0.0,click_and_update,0.0,use_mobile_data,2.0,create_joint_account,2.0,ignore_small_amount,0.0,7,5.912589873598337,0.28741012640166286,As expected,7,4,4,19,Mobile,2024-09-03,2024-10-04,3,3
P0003,34,Female,3,7,4,3,0,4,4,4,4.0,6,6,6,6.0,4,4,4,4.0,3,3,3,3.0,3,4,3,4,4,3.6,report_as_spam,2.0,verify_with_bank,2.0,use_mobile_data,2.0,refuse_completely,2.0,wait_and_see,0.0,5,2.7644332302805874,0.8355667697194127,Over-performer,7,4,4,6,Mobile,2024-09-20,2024-10-30,11,16
P0004,29,Male,3,7,3,6,0,7,7,7,7.0,6,6,6,6.0,7,7,7,7.0,7,7,7,7.0,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,10,,,Missing,2,5,4,7,Mobile,2024-09-15,Missing,4,Missing
P0005,36,Female,2,5,2,4,0,4,4,4,4.0,4,4,4,4.0,4,4,5,4.333333333333333,6,6,6,6.0,7,6,3,6,7,5.8,click_immediately,0.0,verify_with_bank,2.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,6,5.912589873598337,-0.1125898735983375,As expected,6,5,3,2,Mobile,2024-10-08,2024-11-16,3,4
P0006,37,Female,5,2,7,5,1,7,7,7,7.0,7,7,7,7.0,6,6,6,6.0,6,6,6,6.0,Missing,Missing,Missing,Missing,Missing,,Missing,,Missing,,Missing,,Missing,,Missing,,10,,,Missing,4,3,2,0,Tablet,2024-09-11,Missing,8,Missing
P0007,18,Male,3,1,6,4,0,6,6,6,6.0,6,6,6,6.0,5,5,5,5.0,5,5,5,5.0,5,7,5,4,5,5.2,report_as_spam,2.0,report_phishing,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,4.8632043258257545,0.3367956741742457,As expected,5,4,4,11,Mobile,2024-09-14,2024-10-16,11,2
P0008,24,Male,3,3,3,3,1,4,4,4,4.0,4,4,4,4.0,4,4,4,4.0,4,4,4,4.0,3,3,3,4,4,3.4,call_bank_official,2.0,report_phishing,2.0,use_mobile_data,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,4,3.8138187780531707,-0.4138187780531708,As expected,3,4,3,0,Mobile,2024-09-04,2024-10-04,24,4
P0009,49,Male,4,Missing,5,5,1,4,3,4,3.6666666666666665,4,4,4,4.0,5,5,5,5.0,5,5,5,5.0,6,4,5,5,6,5.2,call_bank_official,2.0,delete_email,1.0,wait_until_home,2.0,refuse_completely,2.0,contact_bank_immediately,2.0,10,4.8632043258257545,0.3367956741742457,As expected,5,3,7,10,Tablet,2024-10-05,2024-11-13,3,3
P0010,52,Female,3,4,5,6,0,3,4,3,3.3333333333333335,5,5,4,4.666666666666667,3,3,2,2.6666666666666665,4,4,4,4.0,3,4,3,3,2,3.0,call_bank_official,2.0,forward_to_friend,0.0,ask_for_password,1.0,refuse_completely,2.0,contact_bank_immediately,2.0,8,3.8138187780531707,-0.8138187780531707,Under-performer,4,5,4,6,Mobile,2024-09-08,2024-10-12,11,9
