Target,Model,R²,RMSE,MAE
material_compatibility,Random Forest,0.9251472566563215,0.07278963725927957,0.03262037250000034
material_compatibility,Gradient Boosting,0.9755974248919115,0.041560764077962324,0.02827216073250118
material_compatibility,XGBoost,0.9839031261896778,0.03375487188190263,0.018414115185737615
material_compatibility,Ridge Regression,0.08106028756590244,0.25504053122099046,0.22596912530662416
material_compatibility,Lasso Regression,-1.6871741764346027e-05,0.26605373357857176,0.24773844343749998
material_compatibility,SVR,0.7784263471917552,0.12523472109924838,0.10474708853449594
material_compatibility,Neural Network,0.987927146220092,0.029232816778704377,0.02247474120629179
weld_strength_mpa,Random Forest,0.9904942876890757,46.965175626329,26.424681187585808
weld_strength_mpa,Gradient Boosting,0.9690632971351311,84.72676615969246,55.43664006873745
weld_strength_mpa,XGBoost,0.990679775479051,46.50469547163125,26.9674560683468
weld_strength_mpa,Ridge Regression,0.5962015788154449,306.10182990122,217.3445595789779
weld_strength_mpa,Lasso Regression,0.5962351006755894,306.08912391332836,217.30893543481343
weld_strength_mpa,SVR,0.1698591449759408,438.8938664097047,215.95137237887343
weld_strength_mpa,Neural Network,0.9882632347476559,52.18645863923928,34.28697139196519
contact_resistance_ohm,Random Forest,0.9856375920949361,2.9766141070238406e-05,1.949828604872289e-05
contact_resistance_ohm,Gradient Boosting,0.9888003364587097,2.6285206614892272e-05,1.8044341179165888e-05
contact_resistance_ohm,XGBoost,0.9702546175390894,4.2836964253129127e-05,3.0717295773914716e-05
contact_resistance_ohm,Ridge Regression,0.6875221230305436,0.00013884125954126495,0.00010398017675760934
contact_resistance_ohm,Lasso Regression,-0.00040425726064663436,0.00024842578614600103,0.00018624296155404996
contact_resistance_ohm,SVR,-5.568011328067315,0.0006365402257112275,0.0006005402611026112
contact_resistance_ohm,Neural Network,-10422.107771042514,0.025357563477689245,0.020023729218113254
weld_width_mm,Random Forest,0.9891621139266579,0.10493739221799347,0.07414725416073153
weld_width_mm,Gradient Boosting,0.9820299987588272,0.13512385604314936,0.10269717557099285
weld_width_mm,XGBoost,0.9867235793464112,0.11614445457037358,0.08536911669312665
weld_width_mm,Ridge Regression,0.6482961771719553,0.5977870755372723,0.4722208072855767
weld_width_mm,Lasso Regression,0.6108284181003922,0.628823171350157,0.4955674692890901
weld_width_mm,SVR,0.7312235208166237,0.5225809896629903,0.3572569486251588
weld_width_mm,Neural Network,0.9850181680707393,0.12337877020815631,0.09273015466222047
penetration_depth_mm,Random Forest,0.9864906371699774,0.014247178757965192,0.008935788912356666
penetration_depth_mm,Gradient Boosting,0.9881533430421685,0.013341643962510875,0.008774451884848763
penetration_depth_mm,XGBoost,0.9858691040379901,0.014571232566160991,0.009573718316157307
penetration_depth_mm,Ridge Regression,0.7852161941464884,0.05680835416215295,0.04110109724308636
penetration_depth_mm,Lasso Regression,-3.4908892210250286e-06,0.12257790611636388,0.09093114081644398
penetration_depth_mm,SVR,0.8282513745186695,0.050799340653181375,0.04093791078268466
penetration_depth_mm,Neural Network,0.940119424122972,0.02999538389186874,0.02262701481973027
porosity_percent,Random Forest,0.967969188842108,0.0042347849725726605,0.0030513315952353454
porosity_percent,Gradient Boosting,0.9689509851047328,0.004169378356595398,0.0029942828562963286
porosity_percent,XGBoost,0.9810170482950901,0.003260087572161449,0.002410276495784792
porosity_percent,Ridge Regression,0.6337605521155046,0.014319569283935862,0.010238508237314146
porosity_percent,Lasso Regression,-0.0005261221886325718,0.023668002731218572,0.019856406286515815
porosity_percent,SVR,-0.7356545635525074,0.031173031762504074,0.02721507653454325
porosity_percent,Neural Network,-0.31632231575938485,0.027147417174123206,0.02135123559154868
thermal_cycles_to_failure,Random Forest,0.9706653195945139,814.2724525305965,386.8400148598269
thermal_cycles_to_failure,Gradient Boosting,0.9273611378701644,1281.3376230405213,832.8948386397699
thermal_cycles_to_failure,XGBoost,0.9801524449926846,669.7806076481035,347.81773110297786
thermal_cycles_to_failure,Ridge Regression,0.49217607743781877,3387.939449679548,2297.417011568873
thermal_cycles_to_failure,Lasso Regression,0.49217917545656453,3387.9291154716993,2297.4507983405615
thermal_cycles_to_failure,SVR,-0.14188999227579635,5080.321483476446,2430.468114879301
thermal_cycles_to_failure,Neural Network,0.8907775404388795,1571.212907042039,963.1293113087742
resistance_degradation_rate,Random Forest,0.9205699244585768,7.833906532719511e-06,4.613397860862732e-06
resistance_degradation_rate,Gradient Boosting,0.9503537960487501,6.193397027961922e-06,4.3805553122560646e-06
resistance_degradation_rate,XGBoost,-0.0006305365339183133,2.7804991967595762e-05,2.4954343704665395e-05
resistance_degradation_rate,Ridge Regression,0.08427834564390735,2.659914273346805e-05,2.2576357551731175e-05
resistance_degradation_rate,Lasso Regression,-0.0006305340828640649,2.7804991933541463e-05,2.4954343611059506e-05
resistance_degradation_rate,SVR,-0.40368748437296986,3.2932227859920984e-05,2.7052603893932556e-05
resistance_degradation_rate,Neural Network,-827530.9043284417,0.025285891555012895,0.02002832600984172
strength_retention_percent,Random Forest,0.9184408228720167,0.07660173820279756,0.048385767494248715
strength_retention_percent,Gradient Boosting,0.9536106126857926,0.057771218156202626,0.04247010516146744
strength_retention_percent,XGBoost,0.9635265140152378,0.05122604698226134,0.03598160188660556
strength_retention_percent,Ridge Regression,0.1315336972696085,0.2499647062645398,0.21839887169328528
strength_retention_percent,Lasso Regression,-1.488111496472655e-06,0.26822702328464176,0.2440028390234222
strength_retention_percent,SVR,0.7724024779884618,0.12796345912087487,0.10496340583173264
strength_retention_percent,Neural Network,0.9583502040693254,0.05474048560402081,0.04219905839235935
