State,Region,Year,Broadband_Penetration_Percent,Mobile_Penetration_Percent,Internet_Users_Percent,Population_Million,Urban_Rural_Ratio,Electricity_Access_Percent
Lagos,South West,2015,48.2,89.4,52.1,12.55,0.85,75.3
Lagos,South West,2016,52.8,92.1,56.8,13.12,0.86,76.8
Lagos,South West,2017,58.4,94.3,62.4,13.72,0.87,78.2
Lagos,South West,2018,63.7,96.2,68.3,14.37,0.88,79.5
Lagos,South West,2019,68.9,97.8,73.6,15.05,0.89,80.9
Lagos,South West,2020,72.3,98.4,77.2,15.78,0.90,82.1
Lagos,South West,2021,75.8,98.9,81.5,16.54,0.91,83.4
Lagos,South West,2022,78.9,99.2,84.7,17.35,0.92,84.6
Lagos,South West,2023,81.5,99.4,87.3,18.21,0.93,85.8
Lagos,South West,2024,83.7,99.6,89.4,19.12,0.94,86.9
Kano,North West,2015,21.3,67.2,28.4,11.23,0.42,41.2
Kano,North West,2016,24.7,70.8,32.6,11.71,0.43,43.1
Kano,North West,2017,28.5,74.1,37.2,12.22,0.44,44.9
Kano,North West,2018,32.8,77.6,42.3,12.76,0.45,46.7
Kano,North West,2019,37.4,81.2,47.8,13.33,0.46,48.4
Kano,North West,2020,41.2,84.3,52.4,13.93,0.47,50.2
Kano,North West,2021,45.6,87.1,57.3,14.57,0.48,51.9
Kano,North West,2022,49.8,89.6,61.9,15.25,0.49,53.5
Kano,North West,2023,53.7,91.8,66.2,15.96,0.50,55.1
Kano,North West,2024,57.2,93.7,69.8,16.72,0.51,56.7
Rivers,South South,2015,38.7,82.3,45.2,6.89,0.68,62.4
Rivers,South South,2016,42.3,84.9,49.7,7.14,0.69,64.1
Rivers,South South,2017,46.2,87.3,54.5,7.41,0.70,65.8
Rivers,South South,2018,50.4,89.5,59.3,7.69,0.71,67.4
Rivers,South South,2019,54.8,91.6,64.2,7.98,0.72,69.0
Rivers,South South,2020,58.3,93.2,68.1,8.29,0.73,70.5
Rivers,South South,2021,61.9,94.6,72.3,8.61,0.74,71.9
Rivers,South South,2022,65.2,95.8,75.8,8.94,0.75,73.3
Rivers,South South,2023,68.3,96.8,78.9,9.29,0.76,74.6
Rivers,South South,2024,71.1,97.6,81.6,9.65,0.77,75.9
Kaduna,North West,2015,26.4,71.8,33.6,7.98,0.51,46.8
Kaduna,North West,2016,29.8,75.2,37.9,8.29,0.52,48.6
Kaduna,North West,2017,33.6,78.4,42.6,8.62,0.53,50.3
Kaduna,North West,2018,37.8,81.5,47.7,8.96,0.54,52.0
Kaduna,North West,2019,42.3,84.6,53.1,9.31,0.55,53.6
Kaduna,North West,2020,46.1,87.2,57.6,9.68,0.56,55.2
Kaduna,North West,2021,50.2,89.6,62.4,10.06,0.57,56.8
Kaduna,North West,2022,54.1,91.8,66.8,10.45,0.58,58.3
Kaduna,North West,2023,57.7,93.6,70.7,10.86,0.59,59.8
Kaduna,North West,2024,61.0,95.1,74.2,11.29,0.60,61.2
Oyo,South West,2015,35.2,79.6,42.1,7.24,0.63,58.7
Oyo,South West,2016,38.9,82.4,46.8,7.51,0.64,60.5
Oyo,South West,2017,42.8,85.1,51.7,7.79,0.65,62.2
Oyo,South West,2018,47.1,87.6,56.9,8.09,0.66,63.9
Oyo,South West,2019,51.6,89.9,62.3,8.40,0.67,65.5
Oyo,South West,2020,55.3,91.8,66.7,8.72,0.68,67.0
Oyo,South West,2021,59.2,93.5,71.4,9.06,0.69,68.5
Oyo,South West,2022,62.8,94.9,75.6,9.41,0.70,69.9
Oyo,South West,2023,66.1,96.1,79.2,9.77,0.71,71.3
Oyo,South West,2024,69.1,97.1,82.3,10.15,0.72,72.6
Abuja,North Central,2015,52.7,91.3,58.4,3.56,0.92,81.2
Abuja,North Central,2016,57.3,93.2,63.5,3.84,0.93,82.6
