Year,ICT_Development_Index,Mobile_Money_Users_Million,Mobile_Money_Transaction_Value_Billion_NGN,Mobile_Money_Accounts_Million,FinTech_Adoption_Rate_Percent,Digital_Payment_Volume_Million_Transactions,E_Commerce_GMV_Billion_NGN,Bank_Account_Penetration_Percent,Mobile_Banking_Users_Million,POS_Terminals_Thousands,ATM_Per_100K_Adults,Internet_Banking_Users_Million,USSD_Banking_Users_Million,Mobile_App_Downloads_Financial_Million,Blockchain_Crypto_Users_Thousands
2015,3.24,8.45,234.67,15.23,12.4,89.34,156.78,36.8,5.67,87.23,11.2,3.45,12.34,2.89,23.45
2016,3.58,11.23,389.45,19.87,16.8,145.67,234.56,39.4,8.91,124.56,12.8,5.12,18.67,4.78,45.67
2017,3.89,15.67,567.89,25.34,21.7,234.89,378.92,42.1,13.45,178.92,14.3,7.89,27.45,7.89,78.92
2018,4.21,21.34,823.45,32.78,27.9,367.23,567.34,44.9,19.67,251.34,15.7,11.78,39.23,12.67,134.56
2019,4.56,28.92,1245.67,41.56,35.6,523.67,834.56,47.8,27.89,342.67,17.2,16.89,54.78,19.45,223.45
2020,4.89,39.45,1876.34,53.21,45.8,789.45,1234.67,50.2,39.67,467.89,18.4,24.56,76.89,31.23,389.67
2021,5.34,52.78,2834.56,67.89,56.9,1123.78,1876.45,53.7,54.23,612.45,19.8,35.67,103.45,48.92,567.89
2022,5.71,68.23,4123.67,84.56,65.4,1567.89,2678.92,56.9,71.45,782.34,21.1,49.78,136.78,71.56,823.45
2023,6.12,84.67,5834.92,103.45,72.8,2134.56,3567.34,59.8,91.23,934.67,22.3,67.89,178.92,98.45,1134.67
2024,6.48,102.34,7623.45,124.78,78.3,2789.34,4523.78,62.4,113.67,1089.23,23.5,89.45,223.45,128.67,1489.23
